,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
1756,1756,,G5 Entertainment AB,,,Полная занятость,От 1 года до 3 лет,,,information security engineer,2020-10-14T17:54:10+0300,,Полный день,"[{'name': 'Английский язык'}, {'name': 'GDPR'}, {'name': 'ISO2700'}, {'name': 'COBIT'}, {'name': 'NIST'}, {'name': 'ISO 27001 LA'}]",
4657,4657,Москва,Orange Business Services,,,Полная занятость,От 3 до 6 лет,,,information security product manager,2020-09-18T11:33:34+0300,,Полный день,"[{'name': 'Marketing Communication'}, {'name': 'MS PowerPoint'}, {'name': 'MS Outlook'}, {'name': 'Sales Management'}, {'name': 'Английский язык'}, {'name': 'Product Management'}, {'name': 'Security'}, {'name': 'Information Security'}, {'name': 'DDoS'}]",
5731,5731,,GDC (ICL Services),"The role holder has IT technical and Information Security Management background, interacts with members of the internal and customer security teams to provide high-quality security service, interacts with other delivery units and internal teams within information security projects and information security incidents coordination, leads information security projects and improve customer’s information security posture. The role holder manages security activities such as security risk management, security incident response, changes, policies, and governance. Remote work can be discussed. ",,Полная занятость,От 3 до 6 лет,,,information security manager,2020-10-12T08:28:48+0300,,Удаленная работа,"[{'name': 'Information Security'}, {'name': 'Risk management'}, {'name': 'Risks assessment'}]",
6186,6186,,Luxoft,"We are building a team to run technology, innovation and support for a world-class investment management institution. The scope of the applications and business areas covers applications and infrastructure support, trading, risk management and reporting, market data processing, market surveillance and intelligence, books keeping, reporting and more.<br /><br />We are establishing a star team capable of facing the challenges of modern highly paced environments, lots of data, demand for top-class performance, availability and reliability. We utilize a wide stack of technologies and keep innovating and adopting new architectures and ways to retain leadership in the marketplace.<br />We are looking for bright people with engineering talent and highly proficient in their technological area, ready to continue learning and challenging the status quo as they work, willing to learn from mistakes and continue excelling.<br /><br />Join our international team which located in Warsaw (Poland) , work with matured technical experts and obtain experience from different IT areas. Get a chance to hands-on in projects related to infrastructure migration and buildout, software delivery and support. ",,Полная занятость,От 3 до 6 лет,,,information security support engineer,2020-09-18T20:00:43+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Project management'}, {'name': 'Linux'}, {'name': 'MS Access'}, {'name': 'Organization Skills'}]",
7874,7874,Москва,Аффилированные компании «Филип Моррис Интернэшнл» в России,,,Полная занятость,От 3 до 6 лет,,,information security expert,2020-10-09T14:30:41+0300,,Полный день,"[{'name': 'Project Expert'}, {'name': 'Информационная безопасность'}, {'name': 'Information Security'}, {'name': 'Технические средства информационной защиты'}, {'name': 'CISA, CISM, CISSP'}]",
8025,8025,Москва,Selgros Cash&Carry (Зельгрос кэш&кэрри),,Обязанности,Полная занятость,Нет опыта,,,information security specialist,2020-10-15T12:52:21+0300,Требования,Полный день,"[{'name': 'Английский язык'}, {'name': 'Деловая переписка'}, {'name': 'Управление проектами'}, {'name': 'Деловая коммуникация'}, {'name': 'Работа в команде'}, {'name': 'Организаторские навыки'}]","Условия: Registration in accordance with the Russian Labour Code;Additional medical insurance, including dentistry;Schedule of work: 5/2;Compensation for meals;Central office: Prazhskaya metro station."
16054,16054,Москва,ABBYY,"Вы будете помогать нам соответствовать требованиям международных систем сертификации по безопасности (ISO27001, SOC2 и т.д.). <em>","Обязанности</em> Проведение обследований и аудитов ИБ, внутренних и внешнихРазработка, внедрение, выполнение и улучшение контрольных процедурПодготовка отчётной документации на английском языкеОценка рисков информационной безопасностиРазработка политик, регламентов, инструкций по информационной безопасностиУчастие в процессах обеспечения информационной безопасности.Обучение пользователей методам безопасной работы, проведение тренингов и повышение осведомленности сотрудников в области информационной безопасности. <em>",Полная занятость,От 3 до 6 лет,,,information security analyst,2020-10-15T11:08:31+0300,"Вы будете помогать нам соответствовать требованиям международных систем сертификации по безопасности (ISO27001, SOC2 и т.д.). <em>",Полный день,"[{'name': 'Английский язык'}, {'name': 'Информационная безопасность'}, {'name': 'Деловая переписка'}, {'name': 'Грамотность'}, {'name': 'Информационные технологии'}, {'name': 'Аудит безопасности'}]",
16563,16563,Москва,ВТБ Капитал,,,Полная занятость,Более 6 лет,,,information security architect,2020-10-12T15:01:59+0300,,Полный день,[],
