,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
11275,11275,,ИЦ АЙ-ТЕКО,,,Полная занятость,От 1 года до 3 лет,,,"frontend-разработчик (javascript, react.js)",2020-09-29T15:33:46+0300,,Полный день,"[{'name': 'JavaScript'}, {'name': 'Mac Os'}, {'name': 'React'}]",
11464,11464,,Alpha Technology USA LLC,Требуется продвинутый JavaScript Front-End Developer с опытом разработки сложных SPA приложений для браузерных и мобильных платформ.   ,,Полная занятость,От 1 года до 3 лет,3500.0,3500.0,senior javascript front-end developer (удалëнно),2020-09-29T11:59:12+0300,"Требования уверенное владение JavaScript, TypeScript, React, Reduxплюсом будет опыт работы с React Native, Node.JS, Dockerнавыки проектирования и разработки сложных SPAопыт работы в команде и умение работать с чужим кодомопыт работы с системами контроля версий и баг-трекингабыстрое освоение новых технологийумение оценить объем и сроки работответственность и высокая самодисциплинавладение английским языком (как минимум чтение технической литературы)стаж: от 2 лет   ",Удаленная работа,[{'name': 'React'}],"Условия работы Удаленная работа в распределенной команде, full-timeИнтернациональный коллективИнтересные проекты и возможности проявить собственные талантыИндексируемая зарплата по результатам собеседования  "
11556,11556,,Route4Me,,"Обязанности • Проектирование, разработка и внедрение новых системных компонентов<br />• Рефакторинг, оптимизация существующего кода",Полная занятость,От 3 до 6 лет,2500.0,1500.0,middle javascript developer,2020-10-13T21:23:07+0300,,Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'jQuery'}, {'name': 'CSS'}, {'name': 'Less'}, {'name': 'UML'}]",
11590,11590,Москва,ТЕХНОСЕРВ,"В связи со стартом новых и развитием текущих проектов уровня Enterprise, мы приглашаем к сотрудничеству ",,Полная занятость,От 3 до 6 лет,,,javascript react developer/senior react js,2020-09-25T11:35:27+0300,,Удаленная работа,"[{'name': 'Project Expert'}, {'name': 'Веб-программирование'}, {'name': 'разработка архитектуры решения'}, {'name': 'разработка алгоритмов'}, {'name': 'разработка программного кода'}, {'name': 'JavaScript'}, {'name': 'TypeScript'}, {'name': 'React'}, {'name': 'JS'}]",
11708,11708,Москва,Центр Комплексных Разработок и инноваций на Транспорте,,"Обязанности: Разработка frontend (HTML, CSS, JS/TypeScript)Разработка API (ASP.NET/C#)Разработка хранимых процедур (PL/pgSql)Модификация структуры БД (PL/pgSql)Оптимизация SQL запросов (PL/pgSql) ",Полная занятость,От 1 года до 3 лет,150000.0,125000.0,"full stack web developer (.net/с#, javascript, postgresql)",2020-10-02T11:34:14+0300,"Требования: Опыт разработки веб-приложений ASP.NET, HTML, CSS, JS/TypeScript, AngularJS/ReactJs/VUEОпыт разработки на С# от 1 годаОпыт разработки на PL/pgSql от 1 года ",Гибкий график,[],Условия: Официальное оформление и белая зарплатаВозможность удаленной работыКомфортный график (возможность выбора начала рабочего дня);Офис в пяти минутах пешком от м. Электрозаводская или м. Семеновская (есть парковка);
11730,11730,,OneTwoTrip,"OneTwoTrip — самый высокотехнологичный сервис путешествий. Ежедневно на нашем сайте и в мобильном приложении десятки миллионов поисковых запросов превращаются в десятки тысяч путешествий. Более 4 млн. человек — наши клиенты. Наш сервис функционален, прост и удобен в использовании. Мы создаем уникальные предложения, собирая в реальном времени комбинации из авиабилетов и отелей, и легко комбинируем рейсы разных авиакомпаний, включая лоукостеры. Купить билет на Сапсан в нашем приложении можно за 1 минуту. Сервис находит, выписывает и бронирует лучшие варианты, принимает оплату картами, Apple Pay и оказывает круглосуточную поддержку по всем современным средствам связи, включая мессенджеры. Наша команда непрерывно работает над качеством и скоростью поиска, чтобы путешественники находили лучшие варианты и цены на отели, авиа и ж/д билеты, туры и другие продукты.<br />Мы всегда ищем талантливых и амбициозных специалистов и руководителей. Приходите к нам работать и рекомендуйте друзьям! Наша система построена на стеке Nginx/React/Node.js/Riak/Redis. ",,Полная занятость,Более 6 лет,,,team lead javascript (node.js / backend),2020-09-21T10:54:34+0300,,Гибкий график,"[{'name': 'Node.js'}, {'name': 'MongoDB'}, {'name': 'Redis'}, {'name': 'Riak'}]",
11833,11833,Москва,Билайн,"Наша команда IT разрабатывает и внедряет в жизнь самые актуальные и современные технологии. Вместе мы не только создаем IT -будущее Телекома, но и используем инновационные инструменты в своих проектах, работая по Scrum в дистанционных командах. Если ты готов решать по-настоящему сложные задачи, которые, возможно, до тебя не решал никто, обладаешь аналитическими способностями, если тебя не пугают масштабные проекты и профессиональные вызовы – присоединяйся! Билайн признан работодателем №1 в телеком-отрасли России. И сейчас у тебя есть возможность присоединиться к лучшей команде в качестве FrontEnd разработчика.   ",,Полная занятость,Нет опыта,,,frontend-разработчик (javascript),2020-10-13T14:53:08+0300,,Полный день,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'Git'}, {'name': 'Scrum'}, {'name': 'SQL'}]",
12003,12003,,РОСВИДЕО,"В команду разработки игрового проекта требуется JavaScript разработчик. Мы ищем опытного и ответственного ИТ профессионала, который не боится «работать руками», любит разнообразие задач и быстрый темп развития. ",,Полная занятость,От 1 года до 3 лет,,150000.0,middle full stack javascript разработчик,2020-10-13T10:15:59+0300,,Полный день,"[{'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'PostgreSQL'}, {'name': 'Unity'}, {'name': 'Node.js'}, {'name': 'Работа с базами данных'}, {'name': 'Базы данных'}, {'name': 'TCP/IP'}, {'name': 'C#'}, {'name': 'ООП'}]",
12028,12028,Москва,QIWI,"QIWI – ведущий провайдер платёжных и финансовых сервисов нового поколения в России и странах СНГ. Мы упрощаем взаимодействие людей и бизнеса. Нам нужен фронтенд-разработчик, готовый создавать и улучшать интерфейс для этого взаимодействия, потому что наши продуктовые команды активно развиваются и расширяются.   ",,Полная занятость,От 1 года до 3 лет,,,frontend разработчик (javascript / react),2020-09-28T14:40:53+0300,,Полный день,"[{'name': 'JavaScript'}, {'name': 'React'}, {'name': 'TypeScript'}, {'name': 'Redux'}]","Условия: Работа в динамичной развивающейся компании, лидере рынка платежных систем.Возможность профессионального и карьерного развития.Работа в команде с лучшими профессионалами над сложными и интересными задачами.Оформление по ТК РФ, конкурентоспособная заработная плата.Расширенный соц. пакет: компенсация питания, ДМС, cкидка на фитнес сотрудникам компании.Удобная транспортная и пешеходная доступность: м.Чертановская (10 минут пешком)."
12092,12092,,Vilesse,,,Полная занятость,От 3 до 6 лет,220000.0,150000.0,frontend javascript разработчик,2020-10-13T13:31:47+0300,,Удаленная работа,[],
12244,12244,Москва,Группа Телематика-Один,  <ul> </ul> ,Обязанности: Разработка нового мобильного приложения на React Native; ,Полная занятость,От 1 года до 3 лет,220000.0,,javascript developer (mobile),2020-10-15T10:15:49+0300,"Требования: Отличное знание JavaScript (ES6), систем сборки;Опыт самостоятельной разработки приложения (без бекэнда);Опыт работы с React, Redux;Опыт работы с React Native, Leaflet;Опыт написания тестов, работы по методике TDD;Опыт работы в системах Jira, Gitlab; ",Полный день,"[{'name': 'ReactJS'}, {'name': 'Gitlab'}, {'name': 'Leaflet'}, {'name': 'HTTP'}, {'name': 'React Native'}]","Условия:  Оформление в соответствии с ТК РФ или по договору ГПХ;Полная занятость, график 5/2, удаленная работа обсуждается;Комфортабельный офис м.АвтозаводскаяУровень дохода обсуждается в соответствии с квалификацией кандидата;Реальная возможность профессионального и карьерного роста;<br /><br />Просьба в сопроводе указывать ожидаемый доход и дать ссылку на разработанное мобильное приложение.   "
12276,12276,Москва,Ingram Micro,"Do you crave the creativity and freedom of a startup but the stability of a large, established company? Are you seeking the autonomy to take risks, make decisions and drive business success? Do you want to accelerate your career to the next level? Ingram Micro Cloud, a business unit of Ingram Micro, powers the world’s largest cloud marketplace, and is committed to helping our partners accelerate their digital business success by leveraging our hyperscale platform technology, infinite ecosystem of cloud solutions from the biggest innovators in the tech industry, and go-to-market support and resources to drive adoption and growth. With proven proficiency in SaaS, IaaS, IoT, security, and XaaS technologies, we invite visionaries to join our team and make an impact on this fast-growing industry.   ",,Полная занятость,От 3 до 6 лет,,,senior frontend developer \ javascript,2020-10-14T18:03:06+0300,,Полный день,"[{'name': 'JavaScript'}, {'name': 'vue'}, {'name': 'React'}, {'name': 'UI'}]",
12319,12319,Москва,Netris,,,Полная занятость,От 1 года до 3 лет,,,"разработчик javascript (front-end/react, typescript, решения видеонаблюдения)",2020-10-15T17:15:59+0300,,Полный день,"[{'name': 'Front-end'}, {'name': 'JavaScript'}, {'name': 'React'}, {'name': 'Redux'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'Web-приложения'}, {'name': 'Redux-Saga'}, {'name': 'TypeScript'}, {'name': 'Webpack'}, {'name': 'Git'}, {'name': 'HTTP-протокол'}]",Условия: Работа в крупных высоконагруженных проектах (HighLoad);Компенсация (фикс) обсуждается по результатам собеседования в зависимости от проф.опыта;
12406,12406,,"EPAM Systems, Inc.","В настоящее время мы ищем JavaScript разработчика с опытом программирования от 2-х лет, а также знанием HTML5 или CSS3 для удаленной работы в нашей команде.<br /><br />Основной набор задач связан с разработкой распределенной и масштабируемой платформы.<br /><br /><em>Пожалуйста, обратите</em> <em>внимание</em><em>, </em><em>что</em> <em>даже</em> <em>если</em> <em>Вы</em> <em>подаете</em> <em>заявку</em> <em>на</em> <em>эту</em> <em>должность</em><em>, </em><em>Вам</em> <em>могут</em> <em>быть</em> <em>предложены</em> <em>другие</em> <em>проекты</em> <em>для</em> <em>участия</em> в EPAM Anywhere.   ",Обязанности:  Разработка web-приложений <ul> </ul>  Поддержка существующего кода <ul> </ul>  Оценка производительности и качества кода    ,Полная занятость,От 1 года до 3 лет,,,javascript разработчик,2020-10-07T16:07:41+0300,Требования:  Опыт разработки JavaScript-приложений более двух лет <ul> </ul>  Понимание принципов ООП <ul> </ul>  Практический опыт работы с HTML5/CSS3 <ul> </ul>  Знание одного из фреймворков Angular/ReactJS/Redux/Vue <ul> </ul>  Владение английским языком на уровне Pre-Intermediate и выше    ,Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'HTML5'}, {'name': 'CSS3'}, {'name': 'AngularJS'}, {'name': 'React'}, {'name': 'Node.js'}, {'name': 'Vue.js'}]",
12459,12459,,Спортмастер,"Мы ищем Fullstack developer на разработку новой внутренней системы P&amp;P (people &amp; product), Система нужна для учета продуктовых команд и сотрудников, распределенных по командам. ",,Полная занятость,От 3 до 6 лет,,,fullstack developer (oracle + javascript),2020-10-13T14:03:06+0300,,Полный день,"[{'name': 'Oracle Pl/SQL'}, {'name': 'JavaScript'}]",
12874,12874,Москва,Группа компаний «Триумф»,"Мы - команда, которая разрабатывает и любит свой продукт. ",,Полная занятость,От 1 года до 3 лет,,,javascript-разработчик,2020-10-15T08:51:47+0300,,Полный день,"[{'name': 'JavaScript'}, {'name': 'HTML5'}, {'name': 'CSS3'}, {'name': 'WebGL'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'Веб-программирование'}]",
12964,12964,Москва,Концерн ГРАНИТ,,Обязанности: Разработка front-end приложений и их компонентов ,Полная занятость,От 3 до 6 лет,200000.0,120000.0,разработчик javascript,2020-10-14T15:41:19+0300,"Требования: <ol> <li>JavaScript, ECMA6/7ООП (наследование, архитектура)Работа c технологиями HTML 5, SCSSОпыт работы с Node.jsНаписание и использование тестовОчень желателен опыт работы с framework Angular 8. XML, XQuery.Опыт взаимодействия с СУБД.</li> </ol> ",Полный день,"[{'name': 'JavaScript'}, {'name': 'Node.js'}, {'name': 'XML'}, {'name': 'СУБД'}, {'name': 'ECMA6/7'}]",Условия: Оформление по ТК РФ.Возможность установления индивидуального графика рабочего дня с плавающим режимом начала 9:00-12:00.Работа в собственном офисе компании в центре г. Москва в шаговой доступности от метро
