,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
13729,13729,,GDC (ICL Services),"Solution Architect for a Large-Scale Transition &amp; Transformation project – Develop Windows 10 based Digital Workspace solution, take ownership on End user Services T&amp;T, technically lead the overall T&amp;T containing several projects and smoothly transition to BAU supporting the engineering teams, implement new offerings including innovative Evergreen (Windows as a Service) management approach. ",,Полная занятость,От 3 до 6 лет,,,solution architect (windows 10),2020-10-08T16:31:47+0300,,Полный день,[{'name': 'Английский язык'}],
14242,14242,Москва,HR Development,,,Полная занятость,Более 6 лет,400000.0,250000.0,big data architect,2020-10-05T17:51:30+0300,,Полный день,"[{'name': 'Big Data'}, {'name': 'Hadoop'}]",
14506,14506,,ElectroNeek,,"Обязанности:  Проектирование компонентов системы (фронтенд, бэкенд, десктоп - electron), в том числе удовлетворяющих не функциональным требованиям: безопасности, производительности, частоте развертывания, масштабируемости, мониторинга.  Написание кода;  Ревью кода;  Менторинг коллег.  ",Полная занятость,От 3 до 6 лет,,3000.0,senior typescript fullstack developer / middle architect,2020-10-15T12:54:28+0300,"Обязанности:  Проектирование компонентов системы (фронтенд, бэкенд, десктоп - electron), в том числе удовлетворяющих не функциональным требованиям: безопасности, производительности, частоте развертывания, масштабируемости, мониторинга.  Написание кода;  Ревью кода;  Менторинг коллег.  ",Удаленная работа,"[{'name': 'Git'}, {'name': 'Английский язык'}, {'name': 'Unit Testing'}, {'name': 'Node.js'}, {'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'Работа в команде'}, {'name': 'C#'}, {'name': 'MongoDB'}]","Условия:  работа на динамично развивающемся рынке;  полная занятость, полный рабочий день;  удаленная работа;  конкурентная заработная плата без задержек;  профессиональный рост. "
14729,14729,,Лаборатория Касперского,«Лаборатория Касперского» работает над созданием защищенных продуктов на основе KasperskyOS. Одним из направлений является разработка мобильного телефона и безопасных решений на его основе. ,,Полная занятость,От 3 до 6 лет,,,embedded developer/software architect,2020-10-06T22:13:11+0300,"Требования к соискателям: Опыт коммерческой разработки продуктов более 5 летЗнание принципов и паттернов проектирования программных систем, умение применять их на практикеЗнания и практические навыки разработки безопасного ПОЗнание архитектур и методов построения современных операционных системЗнание алгоритмов и структур данныхЗнание C/C++, UMLТехнический английский – свободное чтение документации ",Полный день,"[{'name': 'UML'}, {'name': 'Linux'}, {'name': 'C++'}, {'name': 'Architecture'}]",
14857,14857,Москва,Navicon,,,Полная занятость,От 3 до 6 лет,,,архитектор решений (solution architect),2020-10-07T17:20:36+0300,"Участие в проектах внедрения и развития решений на платформе Terrasoft Creatio в роли Архитектора решения.</em> Сопровождение продаж проектов: Проведение пред проектного обследования со stakeholder Заказчика;Определение целей и задач проекта;Проектирование to-be архитектуры решения;Формирование оценки проекта;Формирование рамок и ограничений проекта;Формирование плана проекта;Подготовка Технико-коммерческого предложения и его защита перед Заказчиком. Архитекторский контроль и сопровождение проектов на всех этапах: Сбор и анализ требований Заказчика;Подготовка Документа «Функционально-технические требования», review и исправление недочетов в Документе за аналитиками проекта, согласование Документа «Функционально-технические требования» с Заказчиком;Подготовка Документа «FitGap-анализ», review и исправление недочетов в Документе за аналитиками проекта, согласование Документа «FitGap-анализ» с Заказчиком;Создание точной оценки проекта на основании Документа «FitGap-анализ»/ review точной оценки проекта, сформированной аналитиками проекта на основании Документа «FitGap-анализ»;Проектирование архитектуры решения, создаваемого в рамках проекта;Подготовка Документа «Функциональный дизайн», review и исправление недочетов в Документе за аналитиками проекта, согласование Документа «Функциональный дизайн» с Заказчиком;Декомпозиция требований на атомарные задачи и распределение задач между аналитиками проекта;Контроль качества результатов, предоставляемых аналитиками проекта;Частичное управление загрузкой аналитиков проекта;Контроль рамок проекта и управлением ими;Участие в рабочих встречах по проекту (статусы, демонстрации и т.д.). Наставничество, передача накопленного опыта внутри департамента (проведение внутренних тренингов для команды аналитиков, курирование работы молодых специалистов и т.д.).Проведение стажерских программ департамента.Участие в маркетинговых активностях департамента в качестве бизнес-эксперта (подготовка статей для публикации, подготовка маркетинговых материалов, выступления на мероприятиях, проведение вебинаров и т.д.).   ",Полный день,[],"Условия: Уютный офис в 5 мин. от ст. метро Дубровка;Свободный график работы в пределах разумного;10 дней полностью оплачиваемого больничного;ДМС после испытательного срока;+ 3 дополнительных дня к отпуску;Корпоративные курсы английского языка;Чай, кофе, фрукты, теннисный стол, настольный футбол (кикер), манчкин и другие настольные игры, библиотека в свободном доступе."
15169,15169,Москва,МТС,"&quot;МТС Информационные технологии&quot;, дочерняя компания ПАО &quot;МТС&quot; находится в поисках ","Присоединившись к нам, в ваши обязанности будет входить: Разработка архитектуры решения системы, проектирование интеграционных решений;Составление нефункциональных требований к компонентам решения;Постановка задач разработчикам;Работа с требованиями. ",Полная занятость,От 3 до 6 лет,,,solution architect,2020-10-01T11:58:41+0300,"Присоединившись к нам, в ваши обязанности будет входить: Разработка архитектуры решения системы, проектирование интеграционных решений;Составление нефункциональных требований к компонентам решения;Постановка задач разработчикам;Работа с требованиями. ",Полный день,"[{'name': 'Проектирование'}, {'name': 'Sparx Enterprise Architect'}, {'name': 'UML'}, {'name': 'C#'}, {'name': '.NET Framework'}]",
15246,15246,Москва,Марктек,Немецкая FinTech компания в поиске Архитектора решений (удаленная работа). ,Обязанности: Активное взаимодействие с бизнес-заказчиком и бизнес-аналитиком;Разработка архитектур продуктов и их защита;Подготовка критериев и рекомендаций по выбору решений;Ведение архитектурной документации;Коммуникация с командами и контроль реализации решений согласно разработанной архитектуре решения (АрхНадзор). ,Полная занятость,От 1 года до 3 лет,,,архитектор решений / solution architect,2020-10-15T11:42:32+0300,"Требования: Опыт поиска и выбора решений - от 2х лет (на позициях лидера разработки и/или архитектора);Знание паттернов проектирования, опыт практического применения;Широкий технический кругозор - различные системы хранилищ, языки программирования, фреймворки;Понимание преимуществ, недостатков и границ применимости различных архитектурных подходов;Умение адаптировать разрабатываемые решения в условиях меняющихся требований, умение управлять входным потоком требований;Активная жизненная позиция, инициативность. ",Удаленная работа,[],"Требования: Опыт поиска и выбора решений - от 2х лет (на позициях лидера разработки и/или архитектора);Знание паттернов проектирования, опыт практического применения;Широкий технический кругозор - различные системы хранилищ, языки программирования, фреймворки;Понимание преимуществ, недостатков и границ применимости различных архитектурных подходов;Умение адаптировать разрабатываемые решения в условиях меняющихся требований, умение управлять входным потоком требований;Активная жизненная позиция, инициативность. "
15358,15358,Москва,Dassault Systemes,,"Функциональные обязанности: Проведение переговоров с Заказчиком;Формирование состава задач для пресейла на основе анализа запроса Заказчика;Формирование сценария демонстраций;Подготовка и организация пилотных проектов;Формирование архитектуры комплексного решения на базе продуктов DS в контексте архитектуры предприятия заказчика;Подготовка спецификации лицензий под задачи Заказчика;Проведение презентаций и демонстраций (как внутренних, так и для Заказчиков);Участие в проектах внедрения решений. ",Полная занятость,Более 6 лет,,,solution architect,2020-10-05T09:35:30+0300,"Требования: Высшее техническое образование;Опыт пресейла программных решений (демонстрации, защита результатов пилотных проектов, презентации); предпочтительно – PLM, MES, MDM и т.п.;Опыт руководства и участие в проектах внедрения программных решений в качестве руководителя проектов и архитектора решений не менее 8 лет;Навыки анализа потребностей функциональных заказчиков;Компетентность в формировании проектных и технических документов (план проекта, ТЗ, ТКП);Понимание проблематики и задач фокусной отрасли;Английский язык – от Intermediate и выше. ",Полный день,"[{'name': 'Английский язык'}, {'name': 'Проведение презентаций'}, {'name': 'Руководство коллективом'}, {'name': 'Работа в команде'}, {'name': 'Управление проектами'}, {'name': 'Архитектура'}, {'name': 'PLM'}, {'name': 'САПР'}]","Условия: Оформление по ТК РФ;Корпоративная мобильная связь;Работа в профессиональном коллективе и в дружелюбной атмосфере;Насыщенная корпоративная жизнь, возможности непрерывного обучения и развития; регулярное взаимодействие с международными коллегами;Курсы английского языка;Чай и кофе, снеки в офисе."
15359,15359,Москва,КНС ГРУПП,,,Полная занятость,От 3 до 6 лет,,,"системный архитектор/ solution architect (x86, power)",2020-09-29T12:30:38+0300,,Полный день,"[{'name': 'OEM'}, {'name': 'X86'}, {'name': 'IBM Power'}, {'name': 'server'}, {'name': 'Storage'}, {'name': 'СХД'}]",
15573,15573,,Атос АйТи Солюшенс энд Сервисез,,,Полная занятость,Более 6 лет,,,cloud architect,2020-10-05T09:58:32+0300,,Полный день,"[{'name': 'Hibernate ORM'}, {'name': 'Java'}, {'name': 'Spring Framework'}, {'name': 'Английский язык'}, {'name': 'MS Project'}]","Условия: Интересные и сложные проекты;Возможность сертификации и посещения конференций за счёт компании;Соблюдаем все социальные гарантии, предусмотренные законодательством;Добровольное медицинское страхование (поликлиника, стоматология) - 100% компенсация для сотрудников компании;Компенсация питания сотрудника;Корпоративные программы: изучение английского языка, ДМС, особые условия кредитования в банке партнере;Зарубежные бизнес-поездки;Современный и комфортный офис."
16273,16273,Москва,Райффайзенбанк,"Хранилище данных, выстраиваем процессы управления данными (Data Governance) на уровне организации и прикладываем все усилия для развития культуры работы с данными в компании. Существующее Хранилище данных построено по модели группы Raiffeisen, и активно используется для сбора и подготовки данных для нужд различных подразделений и регуляторной отчетности. Мы успешно поддерживаем его, обеспечивая наличие и качество данных, необходимых нашим заказчикам. Сейчас перед командой стоят новые вызовы – построение и развитие единой корпоративной бизнес-модели данных (EDM) для упорядочивания данных и организации системного подхода к архитектуре данных, а также совместно с другими командами банка - реализация масштабной витрины данных Customer 360 на базе Data Lake (в соответствии с EDM). Цель создания этой витрины – покрыть растущие потребности бизнеса (в первую очередь, розничного) в данных, увеличив их доступность для анализа и продвинутой аналитики (ML/AI) с сохранением качества. Кроме этого мы хотим сделать доступным описание собранных данных в едином каталоге. Сейчас нам нужен опытный архитектор данных, который сможет активно включиться в задачу витрины Customer 360 и развитие корпоративной модели для Банка в целом. ","Обязанности: развитие модели данных КХД и аналитических приложений (витрина данных Customer 360 по розничным клиентам на базе Data lake) в составе команды Data Management: расширение атрибутного состава, проектирование моделей для новых сущностей и фактов, проектирование модели для витрин;развитие единой Корпоративной Модели Данных (EDM): расширение модели на новые домены в соответствии с реализуемыми инициативами и общей стратегией развития аналитического ландшафта Банка;участие в процессах Data Governance в части контроля регистрации новых сущностей/атрибутов в EDM (предотвращение дубликации бизнес-объектов и их атрибутов);взаимодействие со стейкхолдерами (Владельцы продуктов, Бизнес-эксперты, руководители различных уровней) с целью уточнения семантики данных, особенностей бизнес процессов и используемых объектов;выявление рисков и недостатков в существующей архитектуре данных (моделях данных, интерфейсах представления данных, потоках данных); оценка рисков; проработка планов по устранению (совместно с корпоративными архитекторами и командой Data Management). ",Полная занятость,От 3 до 6 лет,,,data architect,2020-09-29T09:53:23+0300,"Требования: высшее техническое или экономическое образование;опыт работы в банке, крупном системном интеграторе или консалтинговой компании от 3 лет;хорошее знание базовых концепций и принципов построения хранилищ данных и аналитических витрин (Кимбалл, Инмон, Data Vault);наличие практического опыта разработки и внедрения моделей данных предприятия или моделей данных Хранилищ данных (опыт в банковской сфере - дополнительное преимущество) от 2 лет;понимание решений ИТ-архитектуры, используемых для хранения и обработки данных в аналитических целях, включая управление DWH, Data Lake, инструментов BI (Enterprise и self-service);базовые знания концепций и принципов Data Governance (DAMA);наличие знаний о банковских продуктах и базовых процессах, понимание основных сущностей;наличие опыта работы с PowerDesigner;развитые навыки коммуникации, презентации, решения конфликтов;владение английским на уровне не ниже upper intermediate. ",Полный день,"[{'name': 'UML'}, {'name': 'Английский язык'}, {'name': 'MS Internet Explorer'}, {'name': 'DWH'}, {'name': 'Data Lake'}]","Мы предлагаем: комфортные условия труда: просторный и современный офис в минуте ходьбы от станции метро «Технопарк»;работу в сплоченном IT-сообществе, где коллеги становятся настоящими друзьями;отличный социальный пакет (ДМС, страхование выезжающих за рубеж, скидки на корпоративные продукты, тренажерный зал в офисе);льготное кредитование, программа корпоративных скидок и другое;профессиональные обучающие курсы и конференции в России и за рубежом;современное оборудование;релокационный пакет."
16359,16359,,КБ «Уральский банк реконструкции и развития» (УБРиР),"УБРиР – динамичный федеральный банк для современных людей. В рамках цифровой трансформации банка мы запустили Центр управления архитектурой информационных систем. Приглашаем в команду экспертов Solution architect. Приоритетные проекты на сегодняшний день: маркетинговый конвейер, кредитный конвейер, продуктовый каталог, интернет-банк для ЮЛ, платформа интеграции. ",,Полная занятость,От 3 до 6 лет,,,solution architect,2020-09-28T07:49:04+0300,,Полный день,"[{'name': 'Информационные технологии'}, {'name': 'Системная интеграция'}]",
16411,16411,,Russian Quantum Center,,,Полная занятость,От 3 до 6 лет,,200000.0,software architect,2020-10-14T13:02:16+0300,"Требования: Опыт коммерческой разработки архитектуры ПО от 5-ти летОпыт разработки на Python от 5-ти лет, желательно знание C++Уверенное знание основных паттернов и методологий разработки (микросервисы, сервисно-ориентированный подход, TDD, DDD и пр.)Владение методами параллелизации и высокопроизводительных вычислений, знакомство с архитектурами CUDA или OpenCLПонимание основных сетевых технологий, сокетов, БДЖелание и готовность изучать перспективные технологии, детально погружаться в новые предметные области ",Удаленная работа,"[{'name': 'Python'}, {'name': 'Linux'}, {'name': 'C++'}, {'name': 'UML'}, {'name': 'Cuda'}, {'name': 'Разработка ПО'}, {'name': 'Математическая статистика'}, {'name': 'Архитектура ПО'}]","Условия работы: Удаленная работа без строгих требований по времени, но с полной занятостьюКомфортный офис с лаундж-зоной на территории СколковоОсновное взаимодействие онлайн, встречи только по необходимостиБелая заработная плата от 200,000 рублей (gross) по результатам собеседования "
16459,16459,,Кузница Кадров,В крупный отечественный онлайн/оффлайн ритейл продуктов питания ищем ,,Полная занятость,От 3 до 6 лет,,,solution architect,2020-09-30T20:30:30+0300,,Полный день,[{'name': 'Java'}],
16563,16563,Москва,ВТБ Капитал,,,Полная занятость,Более 6 лет,,,information security architect,2020-10-12T15:01:59+0300,,Полный день,[],
16880,16880,,ClearScale,,,Полная занятость,Более 6 лет,,300000.0,"solution architect (development, aws, remote)",2020-10-01T15:58:34+0300,,Удаленная работа,"[{'name': 'Business Development'}, {'name': 'Sales Management'}, {'name': 'Pre-Sales'}, {'name': 'Customer Needs Analysis'}, {'name': 'Customer Relationship Management'}, {'name': 'Customer orientation'}, {'name': 'Customer Service'}, {'name': 'Architecture'}, {'name': 'AWS'}, {'name': 'Agile Project Management'}, {'name': 'Development'}]",
16962,16962,Москва,Альфа-Банк,Мы ищем Архитектора на наше инвестиционное направление - Альфа-Директ. Альфа-Директ - это комплекс брокерских услуг Альфа-банка на рынке ценных бумаг для широкого круга физических и юридических лиц. ,,Полная занятость,От 3 до 6 лет,,,solution architect (архитектор направления),2020-10-07T11:59:29+0300,,Полный день,"[{'name': 'Solution Architect'}, {'name': 'Системная интеграция'}, {'name': 'Ведение переговоров'}, {'name': 'СУБД'}, {'name': 'Проектная документация'}]","Условия: Полное соблюдение норм ТК РФ;Работа в команде экспертов в своей области;Бизнес, открытый к предложениям: сможешь предлагать собственные идеи и реализовывать их;Современный стек, передовая инфраструктура;Расширенный ДМС, включая стоматологию;Дисконт-программы от компаний партнеров, особые условия на продукты банка;Удаленная работа до конца 2020 года, с 2021 вероятнее всего - частичная удаленка."
17503,17503,,Лига Ставок,"Букмекерская бизнес в современном мире - это прежде всего сильная ИТ команда. Мы формируем команду профессионалов для разработки новой высоконагруженной букмекерской платформы. Разработка ведется на .net core 3.1, c# 8.0 . ",,Полная занятость,Более 6 лет,,,solution architect,2020-10-13T17:47:42+0300,,Полный день,"[{'name': 'Micro-Service Architecture (MSA)'}, {'name': 'Service-based Architecture (SBA)'}, {'name': 'SQL'}, {'name': '.Net Core 3'}, {'name': 'Domain-Driven Design (DDD)'}, {'name': 'BPMN or/and IDEF'}]",
