,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
1547,1547,,ЦДУ ТЭК - филиал ФГБУ РЭА Минэнерго России,,Обязанности: Разработка клиентской части системы на React: участие в построении архитектуры клиентской частиразработка новых компонентоввзаимодействие с дизайнерамиучастие в разработке и внедрении новых сервисов и технологийподдержка сайта предприятия ,Полная занятость,От 3 до 6 лет,,130000.0,frontend разработчик/ frontend developer,2020-10-15T08:29:03+0300,"Требования: Опыт работы от 2 лет. Высшее, незаконченное высшее образование базовые знания PHP/SQLотличное знание HTML/CSSотличное знание JavaScriptзнание React, jQuery, Bootstrapзнание систем сборки проектов (Webpack, Gulp и т.д.)опыт работы с CMS 1С-БитриксGitопыт работы с Linux, Docker приветствуетсяграфические редакторы (Photoshop, Illustrator)умение и желание писать хороший код ",Полный день,"[{'name': 'HTML'}, {'name': 'ReactJS'}, {'name': 'React'}, {'name': 'Frontend'}, {'name': 'JavaScript'}, {'name': 'CSS'}]","Условия: Оформление по ТК РФ, белая заработная платаРабота на полный рабочий день в офисе, в 5 минутах ходьбы от метро БелорусскаяЗаработная плата определяется по результатам собеседованияДМС по окончании испытательного срокавозможность реализовывать интересные проекты   "
1575,1575,,ИК СИБИНТЕК,На проекты в области разработки ПО для автозаправочных комплексов открыта вакансия JS - разработчика.  ,,Полная занятость,От 3 до 6 лет,,,frontend-разработчик (middle\senior),2020-09-23T13:31:11+0300,,Полный день,"[{'name': 'Git'}, {'name': 'Linux'}, {'name': 'REST'}, {'name': 'JavaScript'}, {'name': 'React'}, {'name': 'AngularJS'}]","Условия: Официальное трудоустройство и полное соблюдение ТК РФ. Достойный уровень оплаты,&quot;белая&quot;, обсуждается по результатам собеседования. Соц. пакет: ДМС (со стоматологией), мат. поддержка в различных жизненных обстоятельствах сотрудников, развитая корпоративная культура. Работа на территории работодателя (м. Тимирязевская) с пн-чт. 10-19 ч., пт. 10-18 ч., сб.,вс. - выходные дни."
1581,1581,,Билайн,"Наша команда Digital разрабатывает и внедряет в жизнь самые актуальные и современные технологии. Вместе мы не только создаем digital-будущее Телекома, но и используем инновационные инструменты в своих проектах, работая по Scrum в дистанционных командах.<br />Если вы готовы решать по-настоящему сложные задачи, которые, возможно, до вас не решал никто, обладаете аналитическими способностями, если вас не пугают масштабные проекты и профессиональные вызовы – присоединяйтесь!<br />Билайн признан работодателем №1 в телеком-отрасли России. И сейчас у вас есть возможность присоединиться к лучшей команде в качестве Middle Frontend-разработчика. ",,Полная занятость,Нет опыта,,,middle frontend-разработчик,2020-10-14T15:30:54+0300,,Гибкий график,"[{'name': 'Базы данных'}, {'name': 'Аналитическое мышление'}, {'name': 'Работа в команде'}, {'name': 'JavaScript'}, {'name': 'Agile Project Management'}, {'name': 'React'}, {'name': 'Управление временем'}]",
1629,1629,Москва,Сбербанк,"Компания «Сбербанк», блок Технологии, сейчас в поисках специалиста на позицию ",,Полная занятость,От 3 до 6 лет,,,senior/middle frontend-разработчик (система генерации тестовых данных),2020-09-21T09:31:08+0300,,Полный день,[],"Условия: Место работы: м. Тульская, Нагатинская, МДЦ Верхние Котлы;График работы 5/2 (время начала рабочего дня готовы обсудить);Оформление согласно ТК РФ;Социальный пакет: ДМС, спортзал (фитнес, йога), спортивные и культурно-массовые мероприятия, возможность обучения за счет компании, льготные условия кредитования;Отличная профессиональная команда;Годовая премия."
1633,1633,,Noveo,,,Полная занятость,От 1 года до 3 лет,,,"старший frontend-разработчик (react/redux, удаленно)",2020-09-28T12:08:06+0300,"Требования: отличное знание JavaScript (включая объектную модель, ES6);опыт работы с React-экосистемой (React.js, Redux, Redux-Saga);хорошее знание HTML5/CSS3, опыт кросс-браузерной и мобильной вёрстки;понимание принципов модульной разработки и сборки проекта (Webpack, Gulp); понимание принципов профилирования и оптимизации frontend-приложений;  разговорный английский на уровне общения на технические темы.    ",Удаленная работа,"[{'name': 'react'}, {'name': 'redux'}, {'name': 'saga'}, {'name': 'react.js'}, {'name': 'redux-saga'}, {'name': 'react redux'}]",
1685,1685,Москва,Вебинар Технологии,,,Полная занятость,От 3 до 6 лет,,200000.0,frontend developer,2020-10-12T20:25:36+0300,,Полный день,"[{'name': 'JavaScript'}, {'name': 'REST'}, {'name': 'React'}, {'name': 'Redux'}]",
1703,1703,Москва,Туту.ру,,,Полная занятость,От 3 до 6 лет,,,frontend developer (отели),2020-10-12T11:17:18+0300,,Полный день,"[{'name': 'Git'}, {'name': 'JavaScript'}, {'name': 'Работа в команде'}, {'name': 'React'}, {'name': 'TypeScript'}, {'name': 'NodeJs'}]",
1749,1749,Москва,ВМА,,Обязанности:  Разработка SPA-приложений на Vue.js;  Разработка сложной JS-логики для высоконагруженных проектов;  Написание отладочных тестов;  Оптимизация и рефакторинг существующих SPA-приложение на Vue.js.  ,Полная занятость,От 3 до 6 лет,,,senior frontend-developer (vue.js),2020-10-13T09:31:51+0300,"Требования:  Опыт разработки SPA-приложений “с нуля” от 2-х лет;  Умение создавать правильную компонентную архитектуру проекта с различными зависимостями;  JavaScript (Class, Fetch, Axios, Promises), ES6+;  Опыт разработки на Vue.js от 2 лет;  Опыт работы с с git, npm/yarn;  Опыт собственной настройки webpack;   Опыт написания unit/e2e-тестов.  ",Полный день,"[{'name': 'CSS'}, {'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'jQuery'}, {'name': 'TypeScript'}, {'name': 'Vue.js'}]","Условия: Оформление: ТК РФ, "
1770,1770,,retailCRM,,Обязанности:  Кроссбраузерная и адаптивная верстка сайтов и приложений;  Рефакторинг и оптимизация верстки существующих приложений;  Разработка библиотеки vue-компонентов в рамках дизайн-системы;  Разработка интерфейсов для vue-приложений.  ,Полная занятость,От 1 года до 3 лет,,,middle frontend developer (vue.js),2020-10-12T19:36:55+0300,,Удаленная работа,"[{'name': 'CSS'}, {'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'Vue.js'}, {'name': 'Кроссбраузерная верстка'}, {'name': 'Адаптивная верстка'}]","Условия: Официальное оформление с первого рабочего дня;Стабильная заработная плата с регулярным повышением;График 5/2, гибкий подход к началу рабочего дня;Молодой и дружный коллектив, адекватное руководство;Мы работаем как из офисов в Липецке, Воронеже, Ростове и Москве, так и в удаленном режиме. "
1844,1844,,IronMathTeam,,,Полная занятость,От 1 года до 3 лет,180000.0,100000.0,фронтенд/frontend разработчик на react (javascript) — уровень middle / senior,2020-10-15T15:10:36+0300,"Требования к кандидату опыт разработки в JavaScript 2–3 года;опыт разработки на базе React от 1 года;наличие опыта в разработке крупных фронтенд приложений на базе React;хорошее владение git;хорошее знание базового JS (es6);хорошее знание HTML, CSS, SASS;опыт верстки и оптимизации пользовательских интерфейсов;опыт в разработке пользовательских интерфейсов с клиент-серверным взаимодействием;умение писать тесты к разработанному функционалу приложения (jest, enzyme);хорошее ориентирование в модулях NPM для разработки пользовательских интерфейсов (Redux, immutableJs, Bootstrap, reselect) умение быстро разобраться в новых модулях;понимание nodejs (опыт работы с ним будет плюсом);умение настраивать Webpack будет плюсом;хорошие коммуникативные качества, умение объяснить что сделано, как и почему. ",Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'React'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'CSS3'}, {'name': 'GitHub'}, {'name': 'immutableJs'}, {'name': 'Bootstrap'}, {'name': 'reselect'}, {'name': 'NPM'}, {'name': 'Webpack'}, {'name': 'Sass'}, {'name': 'JSON API'}, {'name': 'JS'}, {'name': 'JS (es6)'}, {'name': 'Git'}, {'name': 'jest'}, {'name': 'enzyme'}]",
1847,1847,,Центр Орбита,,,Полная занятость,От 1 года до 3 лет,,,"frontend разработчик (react, typescript)",2020-10-12T18:41:13+0300,,Гибкий график,"[{'name': 'JavaScript'}, {'name': 'React'}, {'name': 'TypeScript'}, {'name': 'Redux'}, {'name': 'Apache Maven'}, {'name': 'Webpack'}, {'name': 'Git'}, {'name': 'Stylus'}, {'name': 'Less'}, {'name': 'Sass'}, {'name': 'Bootstrap'}]",
1856,1856,Москва,ANCOR FinTech,"Высокотехнологичный биг-дата проект по медицинской геномике. Менее чем за 2 года практически с нуля был создан один из 50 самых мощных в мире центров по обработке медико-биологических данных. Достигнутые результаты уже в разы превосходят все предыдущие подобные наработки в истории России. Это цифровая &quot;ядерная электростанция&quot;, созданная для перехода к персонализированной медицине. Уникальная биомедицинская лаборатория и вычислительный центр, способные производить, хранить и обрабатывать клинические данные в масштабах десятков и сотен петабайт и решать задачи медицинской геномики всероссийского и мирового значения. ",Обязанности: разработка фронтенда веб-приложений биомедицинского назначения;дата-инженерия на очень больших данных. ,Полная занятость,От 3 до 6 лет,,,frontend developer,2020-10-07T16:52:24+0300,"Требования: навыки промышленной разработки веб-приложений на JavaScript; знание NPM/Yarn, Webpack, Babel, ECMAscript 6 и новее, особенностей браузеров; знание стека React (jsx, react-router, redux/redux-thunk/redux-saga, jest/enzyme, apollo/graphql, eslint) и паттернов дизайна приложений на нем;знание SCSS/SASS, SVG;знание экосистемы javascript вроде jquery, lodash/underscore, d3.js, node.js, express.js – будет плюсом. ",Полный день,"[{'name': 'JavaScript'}, {'name': 'React'}]","Условия: белая ЗП + премии и бонусы;гибкое начало рабочего дня и возможность при необходимости работать удалённо;коллектив инженеров-полиглотов (в прошлом - сотрудников иностранных и российских топ-IT-компаний, призеров соревнований по спортивному программированию и машинному обучению, победителей международных и всероссийских олимпиад;уникальное для нашей страны техническое оснащение, сопоставимое с CERN;собственная лаборатория для оптимизации конфигураций облачных и распределенных систем;возможность работать с большим количеством разных технологий одновременно;оплата посещения профильных конференций, обучения, митапов и т.д.;возможность участвовать в научно-исследовательской работе и публиковаться."
1884,1884,,Т1девелопмент,,,Полная занятость,От 1 года до 3 лет,,,frontend developer,2020-10-14T08:49:52+0300,"Требования:  Обязательное знание Angular  Опыт веб-разработки от 2-х лет  Умение разбираться в чужом коде и писать понятный код  Разработка и доработка связи на основе mesh, sfu, msu  Опыт работы с webrtc  Web push  Умения верстать, чувство стиля будет плюсом  Пригодится хорошее знание английского языка для чтения документации и форумов  ",Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'angular'}]","Условия:  Работа в отличной команде молодых и целеустремленных специалистов;  Качественный конкурентный продукт;  Возможна частичная удалённая работа,  Удалённая работа,2-3 раза в неделю потребуется присутствие в офисе на Метро «Деловой Центр»;  В ваши задачи будет входить как доработка существующих решений, так и реализация новых, идеи и предложения приветствуются, мы ценим мнение и желания каждого участника команды. "
1921,1921,,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,"Центр подготовки руководителей цифровой трансформации Высшей школы государственного управления РАНХиГС проводит обучение, исследования и разрабатывает методические и информационные материалы по темам: цифровая трансформация госуправления, цифровые платформы и их экосистемы, управление изменениями, дизайн-мышление, реализация проектов в области цифровой трансформации, этика принятия решений. В 2019 Центр обучил более 15 тыс. слушателей. Для реализации обучения в дистанционном формате в Центре разработана собственная образовательная платформа (на которой, в настоящий момент, более 4,5 тыс. слушателей обучаются или уже прошли обучение) и мобильное приложение для развития которых мы ищем ","Обязанности: Верстка страниц платформы и создание пользовательского интерфейса на основе дизайн-макетов.Привязка к пользовательскому интерфейсу скриптов, которые обеспечивают визуализацию и анимацию страниц.Оптимизация и расширение функционала имеющегося кода, а также оптимизация клиентского портала (JS, CSS).Взаимодействие с Back-end разработчиками.Отладка, написание модульных и интеграционных тестов. ",Полная занятость,От 3 до 6 лет,,,frontend-разработчик,2020-10-14T20:32:01+0300,"Требования: Уверенные знания HTML5 и CSS3;Понимание Javascript как языка, ES6, native;Уверенные знания Vue;Знание vuex и vue-router;Глубокое понимание возможностей современных браузеров;Опыт использования систем сборки Webpack;Опыт работы с sass/scss;Опыт работы с макетами figma, zeplin и psd;Опыт работа с Git;Организованность и соблюдение договоренностей;Умение нести ответственность за свои решения и действияЕсли из перечисленных требований чего-то не хватает - это не проблема, всё обсуждаемо. ",Гибкий график,[],"Условия: Заработная плата от 130 000 руб. определяется на собеседовании и зависит от опыта кандидата.Гибкий график, возможность удаленной работы;Оформление по ТК;Ежегодное премирование за успешное выполнение работ;Корпоративные мероприятия;Корпоративная парковка."
1957,1957,,Кадровое агентство Юнити,"Крупная компания из банковской сферы ищет себе JavaScript-разработчика. Проект: создание платформы, которая будет объединять работу всех структур банка. Стек: JavaScript, TypeScript, NativeJS, React, Redux, NodeJS, NativeJS Sass. ",,Полная занятость,От 3 до 6 лет,,,frontend developer (javascript senior),2020-09-29T15:20:31+0300,,Полный день,"[{'name': 'Git'}, {'name': 'Node.js'}, {'name': 'HTML5'}, {'name': 'JavaScript'}, {'name': 'NativeJS'}, {'name': 'React'}, {'name': 'Redux'}, {'name': 'CSS3'}, {'name': 'ООП'}]",
2026,2026,,Итал Базар,"Интернет магазин ITALBAZAR ищет Frontend-разработчика Ruby on Rails Чем предстоит заниматься:<br />• разрабатывать задачи и проекты различной сложности;<br />• оптимизировать производительность текущего проекта под высокие нагрузки;<br />• проводить код ревью. Необходимые навыки:<br />• Хорошее знание HTML/CSS<br />• Хорошее знание JavaScript и JQuery<br />• Понимание ООП<br />• Умение работать с Git<br />• Умение разбираться в чужом коде<br />• Желание постоянно совершенствоваться и изучать новые технологии Плюсами будет: • Знание Vuejs и Typescript на любом уровне, желание их внедрить на проекте<br />• Знание и понимание стэка разработки фронтовой части на RoR: Coffescript, SASS, хелперы. Мы предлагаем:<br />• удаленную работу;<br />• интересные задачи, работу над востребованным продуктом;<br />• большие возможности не только применить весь свой опыт, но и приобрести новый;<br />• руководителей, которые знают чего хотят, но также готовы услышать мнение команды. • Конечный доход обсуждается на встрече или по skype конференции, зависит от уровня вашей квалификации <div class=""SnapLinksContainer"" style=""margin-left: 0px; margin-top: 0px; display: none;""> <div class=""SL_SelectionRect""> <div class=""SL_SelectionLabel""> </div> </div> </div>",,Полная занятость,От 3 до 6 лет,,,frontend-разработчик,2020-10-13T14:20:40+0300,,Удаленная работа,"[{'name': 'Ruby On Rails'}, {'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'jQuery'}, {'name': 'Sass'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'ООП'}, {'name': 'Coffescript'}, {'name': 'Vuejs'}, {'name': 'Typescript'}]",
2042,2042,,Сбербанк,"  В дружную команду разработки лучшего в России интернет-банка для корпоративных клиентов приглашается Frontend-разработчик. Вам предстоит интересная и увлекательная работа в кругу единомышленников с полноценным применением agile software development . Наш продукт находится в промышленной эксплуатации и отлично зарекомендовал себя, ежегодно получая множество как российских так и международных премий и наград. Много задач решено, но еще больше нам предстоит решить вместе.   ","Обязанности: Создание новых и поддержка существующих сервисовПроектирование и разработка модулей системыСопровождение текущего функционала, refactoring, code-reviewУчастие в обсуждении и принятии архитектурных решений   ",Полная занятость,От 3 до 6 лет,,,senior/middle frontend developer,2020-10-05T16:19:10+0300,"Требования: Опыт работы с JS от 2х летОпыт работы с REST APIУверенные знания React, TypeScriptОпыт работы с ReduxКроссбраузерная и адаптивная верстка   ",Полный день,[],"Условия работы: Полный рабочий день, но гибкий график работы (можно выбрать режим начала работы в промежутке 7:00 - 10:30).Достойная заработная плата (оклад + внушительные премии).Оформление по ТК РФ.Социальный пакет (ДМС).Возможность посещения конференций, обучения и сертификации за счет компании (в т.ч. английский язык).Программа льготного кредитования в Сбербанке.Дисконт-программы от множества компаний партнеров.Возможность принять участие в других крупных и уникальных проектах банка.Территориально – м. Сретенский бульвар."
