,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
5843,5843,,Логистик Тайм,,Обязанности: Написание и поддержка автотестов;Анализ отчетов прогонов;Организация и поддержка тестового окружения;Взаимодействие с группой разработки и тестирования. ,Полная занятость,От 1 года до 3 лет,,130000.0,automation qa engineer web,2020-10-15T12:34:14+0300,,Полный день,"[{'name': 'Git'}, {'name': 'Java'}, {'name': 'Atlassian Jira'}, {'name': 'Apache Maven'}, {'name': 'Redmine'}]","Условия: Достойный уровень заработной платы (зависит от пожеланий и профессионально уровня кандидата);Поездки на ИТ-конференции, митапы, учебные курсы за счет компании;Расширенный соцпакет: ДМС , оплачиваемый отпуск 28 календарных дней, подарки для сотрудников и их детей;Современный и комфортный офис в центре города, с хорошей транспортной доступностью;Возможность гибкого начала рабочего дня;Бесплатные корпоративные обеды и сладости;Абонемент в спорт зал за счет компании;Удобное рабочее место, оборудованное современной техникой;Возможность релокации в Европу."
5882,5882,Москва,Topcon,,"Обязанности: Тестирование встраиваемого программного обеспечения (ПО) спутниковых навигационных приемников (GNSS)Анализ качества GNSS измерений и результатов позиционированияТестирование и сравнительный анализ работы навигационных алгоритмов (слежение за спутниковыми сигналами, позиционирование)Проведение тестов с использованием специализированной радиотехнической аппаратуры: GNSS симуляторы, генераторы сигналов, системы записи и воспроизведения радио эфираРазработка алгоритмов и методик оценки качества измеренийРазработка программных средств автоматизации процессов тестирования GNSS   ",Полная занятость,От 3 до 6 лет,,,senior gnss test engineer,2020-10-15T10:34:30+0300,"Требования: Высшее техническое образованиеБазовые знания в области функционирования GNSS и высокоточной спутниковой навигацииОпыт работы в тестировании / разработке встроенного ПО для навигационных приемников или близких областях от 3 летОпыт практической эксплуатации спутниковых навигационных приемниковПисьменный английский, достаточный для чтения технической литературы   ",Полный день,"[{'name': 'C/C++'}, {'name': 'GNSS'}, {'name': 'GPS'}, {'name': 'GLONASS'}, {'name': 'Тестирование'}]","Условия:   Оформление в соответствии с требованиями Трудового Кодекса РФГрафик работы 5/2 (гибкий график времени прихода в офис)Расширенный социальный пакет: Бесплатные обеды в офисе.Проездной на городской транспорт (без ограничения поездок).Корпоративный микроавтобус между офисом и м. Пролетарская, каждые полчаса.ДМС. Расширенный полис с возможностью обращаться в десятки разных клиник. Стоматология.Льготный ДМС для членов семьи.Страхование жизни.Страхование в заграничных поездках, с покрытием экстремальных видов спорта и возможностью использовать полис в личных поездках. Заработная плата по результатам собеседования в зависимости от квалификацииОфис находится рядом с метро «Пролетарская», «Павелецкая»"
5898,5898,Москва,ВТБ Капитал,VTB Capital’s goal is to be Russia’s Investment Banking powerhouse. We want to be the firm that is a natural choice for all Russian Investment banking and asset management products. A choice our clients around the world make routinely and with confidence. Our mission is to exceed client expectations by providing first class financial services. To create value for the benefit of our clients and for economic and social progress globally. ,,Полная занятость,От 1 года до 3 лет,,,security engineer (junior),2020-10-12T15:00:55+0300,,Полный день,[],
5923,5923,Москва,Netcracker Technology Corp.,"Large international company, leader in OSS/BSS &amp; SDN/NFV solutions with global, distributed development teams is looking for DevOps Specialists to enhance the DevOps &amp; CICDCT practices on various projects.   We help development teams in large projects to be more effective, fast and independent by using of DevOps approaches. Using modern practices and huge knowledge in the field, we successfully improve DevOps experience for Netcracker and Customer development &amp; operations.   ",,Полная занятость,От 3 до 6 лет,,,devops engineer,2020-09-23T13:55:29+0300,,Полный день,[],
5927,5927,,Kelly Services,"Для московского R&amp;D центра международной компании ищем Compiler software engineer (C/C++, LLVM). ",,Полная занятость,Более 6 лет,,,"compiler software engineer (c/c++, llvm)",2020-10-08T11:38:07+0300,,Полный день,"[{'name': 'C++'}, {'name': 'C/C++'}, {'name': 'Linux'}, {'name': 'Compilers'}, {'name': 'toolcahins'}, {'name': 'LLVM'}, {'name': 'компиляторы'}]",
5928,5928,Москва,Uchi.ru,,,Полная занятость,От 1 года до 3 лет,,,data engineer,2020-09-25T17:32:57+0300,,Полный день,"[{'name': 'SQL'}, {'name': 'Python'}]",
5984,5984,,ZiMAD,,,Полная занятость,От 3 до 6 лет,,,principal qa engineer,2020-10-02T12:26:25+0300,,Удаленная работа,"[{'name': 'MySQL'}, {'name': 'ORACLE'}, {'name': 'Perl'}, {'name': 'Python'}, {'name': 'Linux'}, {'name': 'Product Management'}, {'name': 'Shell Scripting'}, {'name': 'База данных: Oracle'}]",
5988,5988,Москва,Лига Ставок,Крупнейший разработчик софта для букмекерских компаний ,,Полная занятость,От 3 до 6 лет,,,системный инженер linux/linux engineer,2020-09-29T17:41:45+0300,,Полный день,"[{'name': 'Linux'}, {'name': 'Bash'}, {'name': 'Python'}, {'name': 'Администрирование серверов Linux'}, {'name': 'Техническая документация'}, {'name': 'VPN'}, {'name': 'NAT'}, {'name': 'IPTables'}, {'name': 'Nginx'}, {'name': 'Jenkins'}, {'name': 'Ansible'}, {'name': 'OpenVPN'}, {'name': 'docker'}, {'name': 'kubernetes'}, {'name': 'openshift'}, {'name': 'rancher'}, {'name': 'Ubuntu'}, {'name': 'Debian'}]",
6019,6019,,Coleman Services,International technology company and leading telecom solution provider is looking Software Engineer. ,,Полная занятость,От 3 до 6 лет,,,software engineer,2020-09-28T09:17:21+0300,,Полный день,"[{'name': 'C/C++'}, {'name': 'Java'}, {'name': 'Git'}, {'name': 'Python'}, {'name': 'ООП'}, {'name': 'Data Structures'}, {'name': 'Mathematics'}, {'name': 'Linux'}]",
6085,6085,,GDC (ICL Services),,,Полная занятость,От 3 до 6 лет,,,data engineer,2020-10-12T15:16:03+0300,,Полный день,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'Базы данных'}, {'name': 'Анализ данных'}, {'name': 'aws'}]","Что мы за это предлагаем: официальное трудоустройство в соответствии с ТК РФ;белая заработная плата (обсуждается на собеседовании);стабильная выплата заработной платы (два раза в месяц), оплата сверхурочных работ. <em>Выплаты и бонусы:</em> оплата мобильной связи;бонус к отпуску и к значимым событиям (свадьба, рождение детей);компенсация спортивных абонементов. <em>Условия труда:</em> работа на территории заказчика;график: 5/2, с 09.00 до 18-00;оплачиваемые переработки и дежурства;постоянная проектная занятность. <em>Обучение и карьера:</em> вендорное обучение и сертификация за счет компании;возможность участия в техническом и управленческом кадровом резерве. <em>Экология и благотворительность:</em> помогаем детским домам, школам, приютам для животных;озеленяем город, бережем ресурсы;поддерживаем социальные инициативы сотрудников."
6128,6128,,Альфа-Банк,,,Полная занятость,От 1 года до 3 лет,,,специалист по тестированию / qa engineer,2020-10-14T11:48:06+0300,,Полный день,[],
6129,6129,Москва,СБЕРКОРУС,,"Обязанности: Преимущественно: функциональное, интеграционное и регрессионное тестирование;Частично: написание автотестов;Ведение тестовой документации;Регистрация найденных дефектов и контроль их исправления;Предоставление отчетов по тестированию;Взаимодействие с разработчиками, аналитиками и другими участниками процесса разработки ",Полная занятость,От 1 года до 3 лет,,,специалист по тестированию/qa engineer (сбербанк бизнес онлайн),2020-10-08T12:04:20+0300,"Требования: Опыт в сфере функционального тестирования не менее 2-х лет;Опыт интеграционного тестирования не менее 1-го года;Опыт тестирования систем дистанционного банковского обслуживания не менее 1-го года;Знание SQL на продвинутом уровне (составление запросов различной сложности: объединение нескольких таблиц – от 3-х и более, вложенные запросы, фильтрация по нескольким полям, умение работать с разным форматом дат, создание/удаление/редактирование таблиц);Опыт работы с багтрекенговыми системами и системами управления тестированием (HP ALM, Atlassian Jira): разработка, выполнение и ревью тестов, кроссировка требований с тестами, работа с дефектами и назначенными задачами;Опыт работы по Agile (в скрам-команде в коротких спринтах (одна-две недели)) не менее 1-го года;Опыт анализа дефектов и инцидентов с по итогам промышленной эксплуатации и приёмо-сдаточных испытаний автоматизированной системы. ",Полный день,"[{'name': 'Atlassian Jira'}, {'name': 'Agile Project Management'}, {'name': 'SQL'}, {'name': 'Функциональное тестирование'}, {'name': 'Java'}]","Условия: ​​ Оформление по ТК, «белая» зарплата без задержек;Работа в проектной команде по гибким методологиям;Возможность прокачать скиллы и поднять свою экспертизу;Возможность создавать сервисы для миллионов клиентов;ДМС после испытательного срока;Офис находится в пешей доступности от м. Кутузовская."
6182,6182,Москва,ТОП КЕЙС,"Привет!<br />Ищем ручного тестировщика на проект – веб-сервис, где государственные заказчики общаются с малым бизнесом. На Портале проводятся оперативные электронные закупки, по факту которых заключается электронный контракт. Государственные организации размещают заказы, находят поставщиков, заключают сделки и пр. На данный момент на портале зарегистрировано почти 200 тысяч поставщиков со всей России. Весь процесс закупки между заказчиком и поставщиком осуществляется электронно, внутри портала. Портал работает с 2013 года. Мы модернизируем его с 2017. Основной процесс закупок отлажен и в сутки успешно заключается около 1000 контрактов. Проект развивается в сторону рабочего места поставщика и добавляются новые сервисы: банковские гарантии, логистика, аналитика. Сейчас мы активно внедряемся в регионы, на данный момент подключенных – 36. ",,Полная занятость,От 1 года до 3 лет,,,qa-engineer,2020-10-01T16:53:48+0300,,Полный день,[{'name': 'Тестирование'}],
