,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
4717,4717,,АппФоллоу,"Если тебе интересно анализировать данные, программировать и быть в команде быстрорастущего стартапа, то предлагаем тебе на рассмотрение позицию Аналитика Данных в AppFollow (appfollow.io). ",,Полная занятость,Нет опыта,,,аналитик данных - data analyst,2020-10-06T15:40:28+0300,,Удаленная работа,"[{'name': 'Data Analysis'}, {'name': 'Python'}, {'name': 'SQL'}, {'name': 'Анализ данных'}]",
4822,4822,,ASD Technologies,"ASD Tech, разработчик программного обеспечения в области облачных технологий, базирующийся в США, приглашает опытного Senior Marketing Analyst присоединиться к нашей команде - Novakidschool.com - онлайн-школе английского языка для детей в возрасте от 4 до 12 лет. Наши клиенты живут в более чем 30 странах по всему миру. У нас 20 тысяч учеников и 1 тысяча преподавателей. Наша международная команда насчитывает более 100 разработчиков / менеджеров поддержки и маркетинговых гуру. Новакид демонстрирует 5-кратный ежегодный рост. <br />",,Полная занятость,От 3 до 6 лет,,150000.0,главный маркетинг аналитик/ senior marketing analyst,2020-10-15T17:33:04+0300,Требования  Страстная любовь к работе цифрами и массивами данных  Черный пояс по Google Analytics и Google Tag Manager  Способность написать SQL если разбудят ночью  На “ты” со сложными формулами и с математикой в целом  Всё вышеперечисленное подтвержденное реальными кейсами  ,Удаленная работа,"[{'name': 'WEB аналитика'}, {'name': 'Аналитика продаж'}, {'name': 'Веб-аналитика'}, {'name': 'GTM'}, {'name': 'GA'}, {'name': 'SQL'}, {'name': 'Google Analytics'}]","Условия Мы умеем работать удаленно - любая точка на карте;График работы гибкий но насыщенный, 40+ часов в неделю - это full-time;Дружный молодой коллектив;Интересный и перспективный проект, обращайтесь!Бонусы и программа опционов присутствуют.  "
5016,5016,,Монтебелло Консалтинг,"This is an entry-level position for a last-year student or recent graduate. Applicants with more than two years of full time experience will not be considered Main duties: To assist the Managing Director in various tasks (preparation of financial models, presentations and white papers, business correspondence, translate materials from English to Russian, etc) Requirements: Top academic credentials: degree from top universities (Mehmat / VMK of Moscow State University, Phystech, Russian Economic School, Higher School of Economics, etc).Advanced English; additional language(s) will strongly strengthen the candidacy.Advanced proficiency in Excel and Powerpoint; strong quantitative and IT skills, ability to work with databases.Strong interest in capital markets, banking and / or consulting - as evidenced by taking relevant classes (either during regular curriculum or taking extra-curriculum courses), participation in case competitions, etcKnowledge of general concepts of finance / markets / investments, understanding of principles of commercial banking and risk management.Most importantly, we want our colleagues to be well-rounded individuals with high level of curiosity and motivation, with strong interpersonal skills and ability to build lasting relationships with colleagues and clients.",,Полная занятость,От 1 года до 3 лет,,,business analyst,2020-09-28T11:15:27+0300,,Полный день,"[{'name': 'MS PowerPoint'}, {'name': 'Английский язык'}, {'name': 'VBA'}, {'name': 'Python'}, {'name': 'MS Excel'}, {'name': 'Базы данных'}, {'name': 'Арабский язык'}, {'name': 'Испанский язык'}, {'name': 'Анализ данных'}]",
5216,5216,Москва,CityAds Media,,,Полная занятость,От 1 года до 3 лет,,,системный аналитик / product analyst (продуктовый аналитик),2020-09-28T13:48:17+0300,"Вам предстоит работать в сформированной дружной команде: Сбор и анализ требований со стороны внутреннего заказчика;Анализ и структурирование полученной информации, формализация требований;Управление требованиями к разрабатываемому/внедряемому программному обеспечению;Взаимодействие с Заказчиком;Взаимодействие с дизайнером (проработка макетов)Взаимодействие с Менеджером продуктаВзаимодействие с командой разработки (разработчики, тимлид, тестировщики);Разработка проектной документации, технической документации, технического задания. ",Полный день,"[{'name': 'SQL'}, {'name': 'MS Excel'}, {'name': 'Google Analytics'}, {'name': 'WEB аналитика'}, {'name': 'Аналитическое мышление'}]",Условия: Уютный офис в шаговой доступности (3-5 минут) от метро Тульская и Даниловского рынка;Дружелюбная и динамичная атмосфера;Работа в сильной RnD команде лидеров CPA-рынка;Опыт работы с международным продуктом;Корпоративное обучение;Гибкий старт дня с 9 до 11:00;Поддержка коллег и возможности карьерного роста.
5277,5277,,Skyeng,"Skyeng разрабатывает лучшее в мире решение для онлайн-обучения английскому языку один-на-один с учителем. Мы уже являемся самой крупной языковой онлайн-школой в Восточной Европе и продолжаем расти в 3 раза каждый год. У нас работает 7100 преподавателей, ежемесячно мы проводим 200 000 уроков. Мы являемся не просто школой, а IT компанией и добились всего, благодаря программному обеспечению, которое разрабатываем сами.   <em>",Обязанности</em> Анализ требований от внутренних заказчиков и постановка технических заданий разработчикам;Участие в оценке трудоемкости работ;Изучение/описание интеграционных процессов/контрактов. А так же согласование интеграций с контрагентами;Поиск оптимального пути решения задачи и его согласование со всеми заинтересованными сторонами;Сопровождение процесса реализации на протяжении всего цикла разработки и внедрения;Участие в приемке выполненных задач.   <em>,Полная занятость,От 3 до 6 лет,,120000.0,system analyst (finance),2020-10-02T12:15:25+0300,"Требования</em> Опыт проектирования/написания требований для бухгалтерских/финансовых программ;Знание основных бухгалтерских процессов;Базовые знания финансового и бухгалтерского учета;Опыт разработки и внедрения ПО (в качестве проектировщика, системного аналитика);Умения выявлять требования заказчика, писать технические задания;Умение ставить задачи на разработку, принимать результат разработки;Понимание структуры web-приложений;Опыт работы с JSON, REST запросами;Умение анализировать и проектировать физическую и логическую схему данных системы;Уверенное владение SQL;Опыт работы с багтрекиноговыми системами (JIRA и т.п.).   <em>",Удаленная работа,"[{'name': 'BPMN'}, {'name': 'Системный анализ'}, {'name': 'System Integration'}, {'name': 'SQL'}, {'name': 'JSON'}, {'name': 'Billing'}]",
5486,5486,,Parimatch,,,Полная занятость,От 1 года до 3 лет,,,senior web analyst,2020-10-15T10:36:24+0300,,Полный день,"[{'name': 'Яндекс.Метрика'}, {'name': 'Google Analytics'}, {'name': 'SQL'}, {'name': 'Обучение и развитие'}, {'name': 'Разработка технических заданий'}]",
5496,5496,Москва,AppQuantum,,,Полная занятость,От 1 года до 3 лет,,,product analyst gamedev,2020-10-13T15:56:39+0300,,Полный день,"[{'name': 'SQL'}, {'name': 'MS PowerPoint'}, {'name': 'Английский язык'}, {'name': 'Маркетинговый анализ'}, {'name': 'Driving Licence B'}, {'name': 'Статистический анализ'}, {'name': 'Проведение тестирований'}, {'name': 'Мобильный маркетинг'}]","Условия:  Уровень дохода обсуждаем на собеседовании исходя из вашего опыта и ожиданий  Просторный офис 1200+ метров на м. Автозаводская (3 минуты от метро и от ТТК на машине) с ультра современным дизайном и кучей ништяков (кухня с вкусняшками, обеды за счёт компании, кальяны по вечерам, PS4 Pro + 4K TV, аркадные автоматы, просторная зона отдыха и т д)  Массаж шейно-воротниковой зоны  Изучение английского языка с носителем после испытательного срока  Коллектив дружных и веселых ребят  Менторы и инвесторы из игровой индустрии и интернет-маркетинга, создавшие большое количество успешных IT компаний "
5718,5718,,Payment Systems,"Мы - продуктовая команда, которая ",,Полная занятость,От 1 года до 3 лет,,180000.0,data analyst / продуктовый аналитик,2020-10-14T18:53:26+0300,,Полный день,"[{'name': 'SQL'}, {'name': 'Python'}, {'name': 'Data Analysis'}]",
5728,5728,,Joom,"Joom — международный мобильный маркетплейс, самый быстрорастущий e-Commerce сервис Европы. Первую версию приложения мы запустили летом 2016-го года, к текущему моменту у нас более 300 миллионов установок по всему миру. У нас накопился огромный объем данных и идей для исследований, поэтому мы хотим нанять старшего продуктового аналитика в нашу команду, который будет активно участвовать в принятии важных решений развития продукта, тем самым непосредственно влияя на успех бизнеса.   Нам нужен тот, кто самостоятельно выдвигает гипотезы, погружается в продукт и ищет инсайты, а не просто выгружает отчеты по просьбе сверху. <br />",,Полная занятость,От 3 до 6 лет,,250000.0,senior product analyst,2020-09-18T14:43:02+0300,"Требования: опыт работы в области продуктовой аналитики;знание математической статистики и опыт ее применения;навыки программирования на Python (Pandas, Numpy);умение писать SQL-запросы;умение выбирать нужный способ оценки данных – аналитика, исследования или использование внешних данных;умение решать нетривиальные задачи в условиях неполных данных;внимание к деталям и умение доводить любое дело до конца. ",Полный день,"[{'name': 'SQL'}, {'name': 'Python'}, {'name': 'Анализ данных'}, {'name': 'Data Analysis'}, {'name': 'Big Data'}]","Требования: опыт работы в области продуктовой аналитики;знание математической статистики и опыт ее применения;навыки программирования на Python (Pandas, Numpy);умение писать SQL-запросы;умение выбирать нужный способ оценки данных – аналитика, исследования или использование внешних данных;умение решать нетривиальные задачи в условиях неполных данных;внимание к деталям и умение доводить любое дело до конца. "
5850,5850,,Vigrom Corp.,,,Полная занятость,От 1 года до 3 лет,,,data analyst,2020-10-04T16:06:40+0300,,Удаленная работа,"[{'name': 'Статистика и теория вероятностей'}, {'name': 'Python'}, {'name': 'SQL'}, {'name': 'Анализ данных'}, {'name': 'Базы данных'}, {'name': 'BI'}]","Условия: Высокая заработная плата + бонусы за результат;Предоставление всей необходимой для работы техники;Посещение профильных конференций и митапов;Возможность карьерного роста;Корпоративные мероприятия, открытое общение с коллегами как в сети, так и в реальном мире."
5953,5953,Лимассол,Wisebits,Мы развиваем мощный global сервис в области ,,Полная занятость,От 3 до 6 лет,4000.0,,product analyst (кипр),2020-09-29T16:45:12+0300,,Полный день,[],"Что предлагаем: Возможность самореализации, влияние на принимаемые технические решенияИндивидуальный план развития, курсы в Udemy и участие в конференцияхРелоцируем даже в условиях закрытых границ (+берем на себя релокацию семьи и домашних животных)Щедрый пакет бенефитов (ланчи, страховки, фитнес, моб связь, помощь с приобретением авто и оплатой школ/садов, языковые курсы и другое)Дружная интернациональная команда и много корпоративных движух <div class=""SnapLinksContainer"" style=""margin-left: 0px; margin-top: 0px; display: none;""> <div class=""SL_SelectionRect""> <div class=""SL_SelectionLabel""> </div> </div> </div>"
6037,6037,Москва,Открытая мобильная платформа,Компания &quot;Открытая мобильная платформа&quot; ищет кандидатов на вакансию ,"Обязанности: Анализировать безопасность ОС Аврора и мобильных приложений;Разрабатывать средства проверки защищенности и концептов имитации атак;Разрабатывать программное обеспечение на C/C++;Разрабатывать системное ПО (драйверов Linux, системных утилит и отдельных компонент).Взаимодействовать с командами разработки. ",Полная занятость,От 1 года до 3 лет,,,security analyst,2020-10-07T09:48:10+0300,"Требования: Опыт и наличие навыков реверс-инжиниринга;Базовое понимание работы приложений на низком уровне, устройства исполняемых файлов;Владение одним из языков программирования: C, С++, Python, bash;Умение эффективно использовать IDA / Ghidra;Умение анализировать сетевой трафик - Burp Suit, WireShark;Понимание того, как работают бинарные уязвимости, как их эксплуатировать;Умение читать ассемблерные листинги;Понимание на низком уровне механизмов защиты Linux, компиляторов; ",Полный день,"[{'name': 'Linux'}, {'name': 'Python'}, {'name': 'C++'}, {'name': 'Bash'}, {'name': 'C/C++'}, {'name': 'Information Security'}]",Условия: ​​​Работа в команде профессионалов высокого уровня с возможностью карьерного и профессионального ростаГибкий рабочий график 5/2ДМСОфис в шаговой доступности от м. Парк ПобедыВозможность влиять на проект хорошими идеями и видеть свой вклад в конечном продуктеВозможность обучения за счёт компанииВозможность участия в международных конференциях за счёт компании
6145,6145,Москва,Диджитал Горизонт,,,Полная занятость,От 3 до 6 лет,,,system analyst,2020-09-29T16:58:55+0300,"Что для этого обязательно нужно?: Законченное высшее образование, профильное желательно техническое;Опыт работы Системным аналитиком от 3 лет;Уметь программировать на Java (или другом языке), знать основные подходы, применяемые при программировании, иметь опыт написания прикладных программ (нам не нужен опыт enterprise разработки, но мы хотим видеть понимание и умение работы с кодом).Опыт разработки технических заданий, бизнес-требований, написания сценариев использования, руководств Пользователя;Способность формировать детальные постановки задач на доработку системы на основе бизнес-проработки требований (описание модели данных, экранных форм, сценариев использования системы, ролевых и статусных моделей);Опыт построения приложений с Клиент-Серверной архитектурой, принципов работы REST API;Важен опыт, понимание Банковского ПО;Опыт работы с методологиями и нотациями BPMN, UML;Понимание принципов построения микросервисной архитектуры;Опыт практического применение CASE-средств проектирования ПО. <br /><em>Отличным дополнением будет</em>: Опыт участия в интеграционных проектах;<br />Опыт проверки соответствия UX/UI требованиям к Системе;<br />Опыт тестирования информационных Систем;<br />Знание гайдлайнов и принципов UX/UI;<br />Опыт написания запросов на языке SQL;<br />Желание работать по гибким методологиям (Lean, Scrum, Kanban).<br /><br />",Удаленная работа,"[{'name': 'UML'}, {'name': 'BPMN'}, {'name': 'SQL'}, {'name': 'Разработка технических заданий'}, {'name': 'Scrum'}, {'name': 'Java'}, {'name': 'Системный анализ'}, {'name': 'REST API'}, {'name': 'Банковское ПО'}, {'name': 'Факторинг'}, {'name': 'SOA'}, {'name': 'микросервисная архитектура'}]",
6162,6162,,Лаборатория Касперского,,,Полная занятость,От 3 до 6 лет,,,security \ system analyst (kasperskyos education development kit),2020-10-06T16:49:41+0300,,Полный день,"[{'name': 'Information Security'}, {'name': 'System Analysis'}]",
6185,6185,,Банк Открытие,,Обязанности: Валидация моделей (включая экспертные);Генерация альтернативных моделей. ,Полная занятость,От 1 года до 3 лет,,,senior data analyst,2020-09-22T14:42:53+0300,"Требования: Высшее математическое/экономическое образование;Знание математической статистики, понимание банковской специфики, дотошность, умение и готовность учится, умение и опыт работы с большими массивами данных;Python/R, SAS EG. <br />",Полный день,[],"Мы предлагаем: Стать частью крупного, динамично развивающегося Банка;Работу в команде единомышленников, неравнодушных к передовым технологиям и практикам;Неограниченные возможности для совершенствования Ваших навыков и знаний, обучаясь у лучших и решая сверхамбициозные задачи;Позитивную рабочую атмосферу, дружный коллектив;Удобное расположение офиса в центре Москвы;Достойную и конкурентную заработную плату, квартальные и годовые премии, размер которых зависит от результатов Вашей работы;Разнообразный социальный пакет: ДМС, страхование жизни, страхование для выезжающих за границу, льготные условия приобретения банковских продуктов, скидки в фитнес-клубах и в компаниях-партнерах."
6189,6189,Москва,EXANTE,,,Полная занятость,От 1 года до 3 лет,,,business analyst,2020-10-14T10:27:25+0300,,Гибкий график,"[{'name': 'UML'}, {'name': 'Atlassian Jira'}, {'name': 'BPMN'}]",
6341,6341,Москва,СберЛогистика,,,Полная занятость,От 1 года до 3 лет,,,junior data analyst,2020-09-24T19:48:38+0300,,Полный день,"[{'name': 'Аналитические исследования'}, {'name': 'SQL'}, {'name': 'Работа с базами данных'}, {'name': 'Python'}, {'name': 'Git'}, {'name': 'MS Excel'}, {'name': 'OLAP'}]",
6570,6570,,ИЦ АЙ-ТЕКО,"<em>ИЦ Ай-теко - входит в топ-5 системных интеграторов и топ-10 IT компаний в России, выполняющих заказную разработку банковских систем. У нас всегда можно выбрать из многочисленных интересных проектов, мы подбираем их индивидуально, с учетом Ваших возможностей и пожеланий. Самые новейшие технологии, самые громкие и масштабные проекты, карьера и развитие - это все ИЦ Ай-теко.</em> На данный момент в нашей компании открыты позиции системных, дата аналитиков уровня middle и senior на проекты в банках. Проекты связаны как с фронтальными решениями банков (ДБО, фронтальные системы), бэк системами, так и с хранилищами данных. ",,Полная занятость,От 1 года до 3 лет,,,business/system analyst - бизнес/системный аналитик,2020-10-10T01:31:55+0300,,Полный день,"[{'name': 'Бизнес-анализ'}, {'name': 'SQL'}, {'name': 'Системная интеграция'}, {'name': 'Системный анализ'}, {'name': 'REST'}, {'name': 'SOAP'}, {'name': 'Data Analysis'}, {'name': 'Big Data'}, {'name': 'Разработка нового продукта'}, {'name': 'Базы данных'}]",
6574,6574,,X5 RETAIL GROUP,,,Полная занятость,От 1 года до 3 лет,,,product analyst / продуктовый аналитик,2020-10-05T09:32:21+0300,"Задачи:   Анализ поведения пользователя в мобильном приложении и на сайте (построение воронки, когортный анализ и другое);  Анализ ключевых пользовательских метрик (Retention, Churn Rate, ROI, LTV и другие);  Управление разметкой событий в GTM и трекере мобильных инсталлов  Проведение А/В тестов;  Оценка эффективности маркетинговых действий;  Прогнозирование эффектов от предполагаемых изменений в продукте;  Проверка ситуативных гипотез на данных;  Формулирование статистических гипотез на основе бизнес-задач (перевод бизнес-требования на язык статистики);  Поиск новых продуктовых идей и их проверка на данных;  Важно: решение задач включает визуализацию данных в дашбордах, документацию подходов и приемов.  ",Полный день,"[{'name': 'SQL'}, {'name': 'Data Mining'}, {'name': 'Бизнес-анализ'}, {'name': 'Git'}, {'name': 'Python'}, {'name': 'Аналитика'}, {'name': 'Анализ данных'}, {'name': 'Статистический анализ'}]","Условия основные: Заработная плата в рынке, прозрачные KPI;Офис в центре Москвы (м. Парк Культуры), пока мы работаем в удаленном режиме;У нас гибкое начало рабочего дня с 09.00 до 11.00 , хорошее оборудование (Macbook Pro); есть ДМС и еще много плюшек в виде скидок и бонусов;Поможем с переездом;У нас прекрасная команда, мы не можем перестать об этом говорить, потому что это правда, которой хочется хвастаться на каждом шагу! "
