,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
3375,3375,Москва,Сбербанк,"Управление валидации Сбербанка – это «большая четверка» в области Data Science. Сотрудники управления участвуют в проектах по улучшению предиктивных моделей, моделей машинного обучения и оптимизации их применения в бизнес-процессах Банка. Мы создаем инструменты для мониторинга, управления и митигации модельного риска по всем бизнес-направлениям.   ",,Полная занятость,От 1 года до 3 лет,,,data scientist (центр валидации моделей киб),2020-09-30T11:15:56+0300,Требования:,Полный день,[],"Условия работы: Работа с современным стеком технологийВозможность обучения за счет компанииРегулярные DS-митапы, большое внутреннее DS сообществоСпортзал в офисе"
3717,3717,,ЕВРАЗ,"Аналитик данных (Data scientist) направления Digital commerce принимает непосредственное участие в проектировании, разработке и запуске прикладных решений для задач электронной коммерции, построенных с использованием технологий машинного обучения и искусственного интеллекта. ","Обязанности: Сбор, подготовка и обработка данных;Создание моделей для решения поставленных бизнес-задач;Оценка работы моделей, визуализация результата;Разработка прототипов и работающих прикладных решений самостоятельно и с участием внешних команд для решения задач персонализированного ценообразования, автоматического документооборота, персонализированного товарного предложения, автоматизации документооборота, автоматизации общения с клиентом и др. ",Полная занятость,От 3 до 6 лет,,,аналитик данных (data scientist),2020-09-23T11:14:32+0300,"Требования: Понимание технологий и методов машинного обучения;Опыт работы от 3 лет, от 1 года на аналогичной должности;Опыт использования машинного обучения для решения бизнес-задач (формулировка и валидация гипотез, обработка сырых данных, построение моделей, анализ результатов);Опыт разработки на Python и знание открытых библиотек машинного обучения;Уверенный пользователь MS Office. ",Полный день,"[{'name': 'Python'}, {'name': 'Анализ данных'}, {'name': 'Аналитика'}, {'name': 'MS Office'}]","Условия: Работа в крупнейшей холдинговой структуре, возможность принять участие в развитии электронной коммерции в глобальной горно-металлургической компании, лидере рынка;Конкурентная заработная плата и условия труда;Расширенный социальный пакет."
3801,3801,Москва,Сентинел Кредит Менеджмент,,,Полная занятость,От 1 года до 3 лет,,,data scientist / риск-аналитик,2020-09-25T09:12:08+0300,,Полный день,"[{'name': 'SQL'}, {'name': 'Python'}, {'name': 'СУБД'}, {'name': 'Oracle Pl/SQL'}, {'name': 'MS SQL Server'}, {'name': 'MS SQL'}, {'name': 'SAS Enterprise Guide'}, {'name': 'Работа с системами аналитики'}, {'name': 'Анализ бизнес показателей'}, {'name': 'Математическая статистика'}, {'name': 'роботизация'}, {'name': 'SAS Miner'}]",
4117,4117,,"585, Холдинг",,"Обязанности: Поиск зависимостей между всевозможными оцифрованными данными и ценой финансовых инструментов, начиная от финансовой отчетности компаний и заканчивая макроэкономическими факторами и новостной лентой.Тестирование гипотез аналитиков.Построение математических моделей для предсказания движения цен на фондовом рынке с целью выгодного приобретения и продажи ценных бумаг ",Полная занятость,Нет опыта,,,data scientist (family office),2020-10-06T12:17:47+0300,"Требования:​​​​​​ Базовые знания высшей математики, теории вероятностей и математической статистики (Теорема Байеса, условные вероятности, ЦПТ, ЗБЧ закон полной дисперсии, условное математическое ожидание, тестирование гипотез, мощности тестов, построение доверительных интервалов , Bootstrapping , Block bootstrap, Опционы. Vanilla (Call, Put) опционы, Put-Call parity, базовые опционные структуры: BullSpread, Bear-Spread, Butterfly, другие стратегии, Greeks,Финансовая математика, Деривативы. Itˆo’s lemma, Black–Scholes equation, Risk-neutral measure, Vasicek model, Hull-White model, Cox–Ingersoll–Ross model, Ornstein–Uhlenbeck process,<br />geometric Brownian Motion, Brownian Motion, CDS, Commodity Swap, IRS, CIRS и другие финансовые инструменты, Навык работы с рыночными системами такими как Bloomberg, Exotic options, QuantoЭконометрика (OLS, Gauss–Markov theorem, Generalized least squares (GLS), Feasible generalized<br />least squares (FGLS), Logistic regression, Method of Moments, Within and Between<br />Estimator, Instrumental variables estimation)Прогнозирование временных рядов (AR, ARIMA, GARCH, GARCH(p, q), EGARCH, ARMA, ARFIMAЯзыки программирования (C, C++, C#.net, SQL/T-SQL, Python+Numpy+Pandas, Keras, TensorFlow, Pytorch, VBA)Базовое машинное обучение (Bias–Variance tradeoff, Cross-validation, переобучение, методы регуляризации. Основные модели машинного обучения: SVM, K-Means, DBSCAN, BIRCH, KNN,<br />Random Forest, Decision tree learning, t-SNE)Нейронные сети, Глубинное обучение, модели NLP ",Полный день,"[{'name': 'Python'}, {'name': 'VBA'}, {'name': 'Data Mining'}, {'name': 'MATLAB'}, {'name': 'Mathcad'}]",Условия: Официальное оформлениеЗаработная плата обсуждается  
4351,4351,,«Газпромбанк» (Акционерное общество),"В Департаменте анализа и моделирования данных мы решаем задачи продвинутой аналитики для бизнеса, используем Big Data, машинное обучение и Data Science. Мы ищем эксперта Data Science в продуктовой аналитике на ключевое направление построения и внедрения моделей.   ",,Полная занятость,От 3 до 6 лет,,,data scientist,2020-10-15T09:20:22+0300,,Удаленная работа,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'Oracle Pl/SQL'}, {'name': 'Sas'}, {'name': 'MS PowerPoint'}, {'name': 'CRM'}, {'name': 'Математическое моделирование'}]","Условия: Стать частью команды, реализующей программы цифровой трансформации банка - на основе передового опыта и инновационных идейСозидательную среду и интересные проекты, Участие в социально значимых проектах, программах Трансформации тела, духа, разумаКонкурентную стабильную заработную плату и систему премирования, включающую ежегодные бонусыДМС с первого дняМногочисленные скидки и бонусы от партнеровВозможности для профессионального развития, программы обучения , в том числе онлайнКомфортный офис, возможность работать удаленно полностью или частичноРелокационный бонус (оплата переезда сотрудника и его семьи, оплата аренды квартиры)"
4371,4371,Москва,"МАГНИТ, Розничная сеть",,,Полная занятость,От 1 года до 3 лет,,,middle data scientist,2020-10-02T08:07:42+0300,,Полный день,"[{'name': 'Big Data'}, {'name': 'Data Analysis'}, {'name': 'Data Mining'}, {'name': 'Математическая статистика'}, {'name': 'Аналитические исследования'}, {'name': 'СУБД'}, {'name': 'Регрессионный анализ'}, {'name': 'Анализ данных'}, {'name': 'Statistica'}, {'name': 'Математическое моделирование'}]",
4389,4389,,Группа компаний SRG,,,Полная занятость,Нет опыта,,,data scientist,2020-09-18T15:55:15+0300,Требования: <ol> <li>Опыт разработки на Python/Java от 3-х лет;Владение разными видами математических моделей и понимание условий и границ их применимости;Знание методик оценки качества моделей;Отличное понимание математической статистики;Владение инструментами преобразования и обработки больших объемов структурированных и неструктурированных данных;Знание принципов проектирования баз данных (реляционных и нереляционных);</li> </ol> ,Полный день,"[{'name': 'Python'}, {'name': 'Java'}, {'name': 'C++'}, {'name': 'SQL'}, {'name': 'Data Mining'}]","Условия: Оформление по ТК РФ;Заработная плата и размер ежеквартальных премий обсуждаются с успешным кандидатом;Офис БЦ &quot;Пальмира&quot;, м. Бауманская/Электрозаводская;Гибкое начало рабочего дня (c 9 до 11ч)Дружеская атмосфера."
4391,4391,,Сбербанк,В поиске ,,Полная занятость,От 1 года до 3 лет,,,data scientist в лабораторию нейронаук,2020-09-25T11:00:31+0300,"Требования:<ul><li>Опыт решения прикладных задач в сфере анализа данных (от 2 лет).</li><li>Понимание и опыт практического применения математической статистики, теории вероятностей и методов машинного обучения.</li><li>Опыт работы с базами данных, знание SQL.<br />Уверенное знание Python и основных библиотек для работы с данными (scikit-learn, pandas, numpy, scipy).</li><li>Умение пользоваться Git, Wiki, Jira и другими средствами командной работы.<br /></li></ul>",Полный день,[],"Условия:<ul><li>Дружная разносторонняя команда.</li><li>Уникальные масштабные проекты и сложные разноплановые задачи.</li><li>Участие в различных конференциях, митапы DS Community банка и корпоративные мероприятия.</li><li>Обучение за счёт банка (онлайн и офлайн, в т. ч. на внешних платформах).</li><li>ДМС, спортзал, сниженные ставки по кредитам, дисконт-программы от множества компаний-партнеров.</li><li>Возможность принять участие в других крупных и уникальных проектах банка.</li></ul>"
4426,4426,,Сбербанк,"Сейчас нам требуются эксперты ML в Блок Управления благосостоянием, команда PFM (персональный финансовый менеджмент). ",Обязанности: Разрабатывает предсказательные модели (классический ML) на основании бизнес задач;Управляет группой моделей по своему направлению;Мониторит и дорабатывает модели;Участвует в разработке и оптимизации процессов по своему направлению;Участвует в проектах по развитию инфраструктуры и систем обработки данных. ,Полная занятость,Нет опыта,,,senior data scientist ( блок уб),2020-10-09T15:36:58+0300,"Требования: Имеет реализованные проекты в области анализа данных и машинного обучения;Обладает уверенными знаниями, опытом применения и промышленной реализации моделей машинного обучения (ансамбли решающих деревьев, регресии, коллаборативная фильтрация, временные ряды)Уверенно владеет Python и библиотеками анализа данных: Pandas, NumPy, scikit-learn, xgboostИмеет хороший уровень знания любого из диалектов SQL ",Полный день,[],"Условия: Хорошо мотивирующий оклад (обсуждаем индивидуально, присутствует определенная вилка) + система премирования;Проекты национального уровня;Оформление по ТК РФ, расширенный ДМС;Обучение в корп. университете, участие в конференциях, обучение вне компании (компенсируем);Атмосферу стартапа внутри одной из самых сильных компаний страны; Бесплатный фитнес, парковка для сотрудников, комфортные условия труда со всеми необходимыми ресурсами. Офис Поклонная улица, д3к1. (м.Кутузовская)."
4598,4598,,Lamoda,"Being a part of the Lamoda research &amp; development team, you will be responsible for bringing advanced data-driven and ML products to our website, apps and internal processes. We are working across various fields including Lamoda search, recommendation engine, catalogue ranking algorithms, personalisation framework, etc. along with an AB-testing platform and internal analytical tools like sales forecasting models and others. ",,Полная занятость,От 3 до 6 лет,,,data scientist,2020-10-08T15:31:54+0300,,Полный день,[],
4623,4623,,ГК «ВИЗАВИ Консалт»,,"Обязанности: Построение моделей машинного обучения с применением статистических методов и методов машинного обучения с использованием нейронных сетей.Построение моделей в области обработки естественного языка.Разработка решений по проектам машинного обучения с применением современных языков программирования и современных фреймворков (word2vec, BERT,fasttext).Разработка учебных кейсов в области машинного обучения для школьников, студентов, в интересах корпорации. ",Полная занятость,От 1 года до 3 лет,130000.0,,"senior data scientist (обработка текстов, машинное обучение), г. сочи",2020-09-18T16:33:14+0300,"Требования: Знание и практический опыт разработки моделей машинного обучения.Знание инструментов и теории обработки текстовой информации.Профильное высшее образование в области технических наук, физики, математики.Опыт использования Gitlab, Docker.Знание Python (специальные библиотеки pandas, tensorflow, catboost).Знание SQL.Знание технического английского языка.Знание методологии обработки данных Crisp-DM. ",Полный день,"[{'name': 'Python'}, {'name': 'SQL'}]","Условия: ​Г. Сочи, офис находится в современном БЦ.Трудоустройство по ТК РФ.ЗП: 110 000 -130 000 (gross).Релокационный бонус в размере оклада.Компенсация проживания 20 000 руб. gross в месяц.Премии по результатам года: до 30% от годового дохода (испытательный срок не учитывается).Испытательный срок 3 мес.Работа в динамичной команде единомышленников.Компенсация ДМС после прохождения испытательного срока.Скидки на ДМС для родственников.Дополнительные дни к оплачиваемому отпуску.Компенсация мобильной связи."
5043,5043,Москва,ЛАНИТ-ТЕХНОЛОГИИ,,"Обязанности: Анализ данных из различных источников;Разработка прототипов моделей машинного обучения для решения различных<br />прикладных задач;Участие в выводе моделей в промышленное использование, работа с<br />инженерами-разработчиками;Участие в брейн штормах и обсуждениях;Разработка архитектуры решений в области машинного обучения. ",Полная занятость,От 1 года до 3 лет,,,data scientist,2020-09-30T18:46:33+0300,"Требования: Отличные знания Python (pandas, sklearn, numpy, scipy, xgboost, seaborn, etc);Умение работать с logistic regression, svm, knn, nn, decision tree, random forest,<br />xgboost/catboost/lgbm и т.п. Понимание преимуществ, недостатков и отличий;Знание NLP (LSTM, Transformers, Bert, GPT-2, word2vec, glove, fasttext, tf-idf);Опыт работы с регулярными выражениями;Опыт работы с парсерами;Опыт работы с OCR;Умение работать с различными источниками данных, где бы они не находились (в файлах или базе данных);Постоянное совершенствование: посещение релевантных мероприятий, изучение литературы, слежение за релевантными новостями;Мышление изобретателя и новатора;Аккуратность и ответственность;Высшее техническое образование. ",Полный день,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'MS SQL'}, {'name': 'Прогнозирование'}, {'name': 'pandas'}, {'name': 'logistic regression'}, {'name': 'NLP'}]","Условия: Стабильная заработная плата;Участие в интересных проектах в масштабах всей страны;Большие перспективы профессионального и карьерного роста;Хорошо оборудованное рабочее место: мощный компьютер, несколько мониторов;Отличный офис с оборудованной кухней;Социальный пакет."
5202,5202,,ГК «ВИЗАВИ Консалт»,"Крупная российская компания, ведущая деятельность на стыке retail / ecommerce усиливает команду online-продвижения и рассматривает кандидатов на позицию ",,Полная занятость,От 1 года до 3 лет,,,"аналитик данных, data scientist",2020-10-05T14:18:57+0300,"Требования: · Аналитический склад ума и системное мышление · Практический опыт работы с большим объемом данных на Python · Понимание задач Ecommerce, инициативность, поиск и решение задач в условиях ограничений · Навыки разработки моделей с нуля, использование технологий машинного обучения · Реальные знания методов статистического анализа данных, мат.статистики​ ",Полный день,"[{'name': 'Python'}, {'name': 'Статистический анализ'}, {'name': 'Математическая статистика'}, {'name': 'SQL'}, {'name': 'Аналитические исследования'}]","Требования: · Аналитический склад ума и системное мышление · Практический опыт работы с большим объемом данных на Python · Понимание задач Ecommerce, инициативность, поиск и решение задач в условиях ограничений · Навыки разработки моделей с нуля, использование технологий машинного обучения · Реальные знания методов статистического анализа данных, мат.статистики​ "
5223,5223,Москва,Почтовые технологии,<em>,,Полная занятость,От 1 года до 3 лет,,,data scientist,2020-09-29T13:42:29+0300,,Полный день,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'MS SQL'}, {'name': 'Обучение и развитие'}, {'name': 'MS Access'}]",
5349,5349,,Группа компаний С7,,,Полная занятость,От 1 года до 3 лет,,,data scientist,2020-10-14T15:05:57+0300,"Требования: Опыт работы от 2 лет с алгоритмами машинного обучения.Опыт работы с NLP/NLU задачами (классификация текста, извлечение сущностей (NER), сентимент анализ, slot-filling).Знание ML и опыт работы с основными DS библиотеками: pandas, numpy, sklearn, scipy, nltk, gensim, pytorch/tensorflow/keras.Уверенное использование git. ",Полный день,[],
5733,5733,Москва,МИА Россия сегодня,В крупнейший новостной сайт страны ria.ru требуется Аналитик данных (Data scientist/Python). ,"Обязанности: Разработка алгоритмов, которые эффективно работают в реальном времени;Разработка моделей машинного обучения на больших данных (крупнейший новостной сайт страны, около 20 млн хитов в день);Разработка рекомендательных алгоритмов, предсказание популярности материала в различных источниках трафика; ",Полная занятость,От 3 до 6 лет,,,data scientist/python,2020-10-12T15:52:50+0300,"Требования: Высшее образование;Аналогичный предыдущий опыт работы;Знания алгоритмов в сфере машинного обучения – Random Forest’s, SVM, clustering и тд;Знания в области анализа естественных языков, знание библиотек gensim, nltk и др. будет являться плюсом;Знание библиотек numpy, pandas, scikit-learnЗнание SQL;Способность формулировать и проверять гипотезы, объяснять полученные данные. ",Полный день,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'numpy'}, {'name': 'pandas'}]","Условия: м. Парк культуры (в шаговой доступности);Заработная плата обсуждается на собеседовании;Оформление по ТК;График работы пятидневная рабочая неделя;Социальный пакет (ДМС, корпоративный фитнес-клуб, врач-терапевт в офисе);Бесплатное посещение показов фильмов, лекций и других мероприятий на площадках МИА «Россия сегодня»."
