,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
13260,13260,,Сбербанк,"SberDevices — уникальное IT-пространство внутри Сбербанка. Мы занимаемся разработкой голосовых продуктов, умных устройств и виртуальных персонажей. Например, мы разработали OKKO SmartBox и продолжаем его развивать, а на подходе новые устройства, еще более амбициозные. В работе мы используем современные технологии, приветствуем в команде любые интересные идеи и каждые игрок команды может вложить в устройство что-то свое. Если тебе хочется участвовать в разработке инновационных устройств, заниматься развитием новых технологий, то мы ждём тебя! ","Обязанности: Разработка высоконагруженного сервиса и фреймворкаРазвитие и поддержка фреймворка, обеспечивающего инференс нейронных сетейРазработка скриптов для обработки и анализа данныхВзаимодействие с R&amp;D, аналитиками, инженерами технической поддержки ",Полная занятость,От 1 года до 3 лет,,,"python разработчик, sberdevices",2020-09-21T12:57:43+0300,"Требования: Владение Python3 на высоком уровне промышленного программирования от 3х летУверенные знания алгоритмовОпыт производства чистого, документированного, высокопроизводительного и покрытого тестами кодаОпыт создания многопоточных и асинхронных сервисовОпыт работы с Базами SQL(PostgreSQL/MSSQL/Oracle/MySQL) и документо-ориентированными (MongoDB/Elastic)Уверенное пользование Git, Docker, Jira, Linux shellОпыт с веб фреймворками (Django/Flask), знание REST фреймворков ",Полный день,"[{'name': 'Python'}, {'name': 'MongoDB'}, {'name': 'Git'}, {'name': 'Linux'}, {'name': 'SQL'}]","Условия:</em> Профессиональное обучение, семинары, тренинги, конференции, корпоративная библиотека.ДМС, страхование жизни.Самые инновационные, амбициозные проекты и задачи.Свободный дресс-код.Гибкий график для оптимального баланса работы и личной жизни.Льготные кредиты и корпоративные скидки.Конкурентная компенсация (оклад и премии по результатам деятельности)."
13288,13288,,Kokoc Group,"Привет! Мы — Kokoc Group — группа компаний, объединяющая агентства интернет-маркетинга. Мы занимаем значительную долю на digital-рынке России и не собираемся ее снижать. Мы дали себе слово сделать интернет-маркетинг прозрачным и удобным — в отношениях с клиентами, партнерами, сотрудниками. И нам это удается. Все наши процессы (даже автоматизированные) разработаны и поддерживаются людьми. Поэтому мы считаем высшей ценностью компании комфорт и человеческое взаимодействие, а только потом — технологии. Сейчас мы находимся в поиске",,Полная занятость,От 3 до 6 лет,,,программист python(django),2020-09-30T13:05:52+0300,,Удаленная работа,"[{'name': 'Python'}, {'name': 'Django Framework'}, {'name': 'PostgreSQL'}, {'name': 'Git'}, {'name': 'Celery'}]",
13298,13298,Москва,ДИДЖИ ТЕХ,,,Полная занятость,От 1 года до 3 лет,,,python разработчик (middle\senior),2020-10-13T12:19:44+0300,,Полный день,"[{'name': 'PostgreSQL'}, {'name': 'Javascript (ES6)'}, {'name': 'Flink'}, {'name': 'Clickhouse'}, {'name': 'asyncio'}, {'name': 'Python 3'}]",
13335,13335,Москва,Тинькофф,"Тинькофф находится в поисках разработчика на Маркетинговую платформу. В рамках стартующего проекта предполагается выстраивание с нуля backend приложения в замен устаревшему решению на языке sas base, из которого берется только идея.<br />Задачи, которые должно решать приложение: Пакетная обработка (преобразования, обогащения) входного массива данных с выполнением конечного целевого действияВыстраивание интеграций с различными внутрибанковскими сервисами (databases[oracle/postgres...]/kafka/rest/soap...)Манипуляции с данными, размазывание нагрузки, параллельная обработка, маршрутизация Предлагается полная свобода по созданию архитектуры с нуля, менторство над менее опытными сотрудниками, возможность влиять на продукт. ",Обязанности Ключевое участие в работе над новым backend проектомВыстраивание и реализация архитектуры приложения с нуляМенторство и помощь менее опытным сотрудникамУчастие в оценке и планировании задач ,Полная занятость,От 3 до 6 лет,,,разработчик python,2020-10-15T14:27:58+0300,"Требования Отличное знание Python. Опыт промышленной разработки на Python от трех летОпыт работы и уверенное знание pandas, numpyУвереный опыт с SQL для извлечения, обработки и анализа данных (Oracle, PostgreSQL, MSSQL, MySQL)Опыт работы с очередями (kafka)Опыт интеграций с web/rest- сервисамиЗнание и применение паттернов проектирования ",Полный день,"[{'name': 'Python'}, {'name': 'PostgreSQL'}, {'name': 'SQL'}, {'name': 'MS SQL'}, {'name': 'C++'}]","Мы предлагаем Работу в комфортном офисе у метро «Водный стадион». У нас уютный офис с панорамным видом на город и подземной парковкойПрофессиональное развитие. Мы постоянно проводим митапы, тренинги и мастер-классы. В твоем распоряжении огромная библиотека с технической литературойБесплатные и вкусные обеды в уютном Tinkoff Сafe. Если захочешь перекусить — на каждом этаже есть кухня с чаем, кофе и фруктамиЗаботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Для твоих близких предложим льготные условия страхованияЗанятия в бесплатном фитнес-зале Tinkoff Sport. Пользуйся тренажерами, посещай групповые программы с крутыми тренерами, грейся в сауне. А еще мы регулярно устраиваем турниры по футболу, волейболу и хоккеюДостойную твоего профессионального уровня зарплату"
13400,13400,Москва,Бизнес Успех,,"Обязанности:  Разработка API  Разработка высоконагруженных сервисов  Взаимодействие с фронт-энд и мобильными разработчиками для обсуждения интерфейса бекэнда  Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности  Написание юнит-тестов  Code Review    ",Полная занятость,От 1 года до 3 лет,,300000.0,senior python backend developer,2020-10-07T13:47:40+0300,"Требования:  Опыт разработки архитектуры сервисов  Опыт работы с высоконагруженными проектами  Знание docker  Опыт работы с MongoDB  python 3.7+  Знание REST  Навык написания юнит-тестов  Знание асинхронных фреймворков (FastAPI, aiohttp)    ",Полный день,"[{'name': 'MongoDB'}, {'name': 'Python'}, {'name': 'Git'}, {'name': 'Atlassian Jira'}, {'name': 'Atlassian Confluence'}]",
13436,13436,Москва,РСХБ-Интех,"ООО «РСХБ-Интех»— российская ИТ-компания, оказывающая услуги по разработке, внедрению и сопровождению компьютерного программного обеспечения для АО «Россельхозбанк». Для реализации масштабной программы цифровой трансформации розничного бизнеса в одном из крупнейших банков нашей страны набирается новая команда. ",,Полная занятость,От 3 до 6 лет,300000.0,150000.0,разработчик python (senior developer),2020-10-14T13:06:04+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Linux'}, {'name': 'PostgreSQL'}, {'name': 'SQL'}, {'name': 'Git'}]",
13585,13585,,Артистраж,,Обязанности: Разработка новых проектов;Разработка архитектуры проектов и технологических решений;Поддержка и оптимизация действующих проектов; ,Полная занятость,От 1 года до 3 лет,170000.0,120000.0,программист python,2020-10-15T11:12:32+0300,"Требования: Опыт работы от 1 годаЗнание Python 3.6+ и других языковЗнание алгоритмов и умение их строитьGitDocker, docker-composeGitlab CI/CD (или аналоги)Технический английский ",Полный день,"[{'name': 'Python'}, {'name': 'Git'}, {'name': 'Docker'}, {'name': 'Celery'}, {'name': 'RabbitMQ'}, {'name': 'Django Framework'}, {'name': 'Linux'}, {'name': 'Nginx'}, {'name': 'JavaScript'}, {'name': 'Информационная безопасность'}]","Условия: График 5/2, 11:00-20:00Работа в офис в Москва Сити"
13612,13612,Москва,РТИ,,Обязанности: Разработка бизнес-логики для WEB приложенийCоздание WEB сервисовPешение интеграционных задачУчастие в разработке архитектуры и дизайна системы ,Полная занятость,От 3 до 6 лет,,,программист python,2020-09-30T17:52:19+0300,"Требования:  Python (опыт разработки и отладки сервисов)  GIT  Apache  Linux Debian  Будет плюсом: Опыт работы с библиотеками: GDAL, SciPy, NumPy, Flask  ",Полный день,"[{'name': 'Python'}, {'name': 'Git'}, {'name': 'Linux'}, {'name': 'WEB'}, {'name': 'Flask'}, {'name': 'NumPy'}, {'name': 'SciPy'}, {'name': 'GDAL'}]","Условия:  У нас множество интересных задач. Став частью нашей команды, Вы будете участвовать в реализации проектов, качественно меняющих подходы к управлению государством и бизнесом  Достойная оплата за эффективный труд  Дополнительные мотивационные программы  Дружный коллектив единомышленников Рабочее место: г. Москва, ул. 8-го Марта"
13901,13901,Москва,Райффайзенбанк,"Наша команда развивает платформу Operational Data Storage (ODS) - интеграционное хранилище операционных данных. Основные цели команды платформы — обеспечение стабильности работы системы, увеличение скорости работы, развитие возможностей интеграции хранилища с различными источниками/потребителями данных, поддержка и развитие процессов сборки и поставки кода (CI/CD), поддержка работы продуктовых команд, разрабатывающих свои интеграции на базе Платформы, автоматизация проверок кода и данных. Среди ключевых результатов работы мы видим: предоставление всем продуктовым командам Банка возможности самостоятельного и независимого внесения доработок в интеграции хранилища;обеспечение полной управляемости системой и максимально простой диагностикой возникающих ошибок Мы высоко ценим инициативность, открытость к обратной связи и самостоятельность, а также умение работать в команде и стремление к поиску лучших решений. ",,Полная занятость,От 1 года до 3 лет,,,junior developer (python/oracle),2020-10-06T15:41:22+0300,Требования: опыт использования Python с применением объектно-ориентированного подхода;опыт работы с реляционными СУБД (Oracle как плюс);понимание DevOps-практик;знание git;английский на уровне чтения документации. ,Полный день,"[{'name': 'Python'}, {'name': 'Git'}, {'name': 'SQL'}, {'name': 'DevOps'}, {'name': 'ORACLE'}]","Мы предлагаем: возможность влиять на конечный результат и понимать бизнес-логику продуктов — мы следуем принципам Agile;комфортные условия труда: просторный и современный офис в минуте ходьбы от станции метро «Технопарк»;работу в сплоченном IT-сообществе, где коллеги становятся настоящими друзьями;отличный социальный пакет (ДМС, страхование выезжающих за рубеж, скидки на корпоративные продукты, тренажерный зал в офисе);льготное кредитование, программа корпоративных скидок и другое;профессиональные обучающие курсы и конференции в России и за рубежом;современное оборудование;релокационный пакет."
13966,13966,,ДВ технологии,"Команда, занимающаяся алгоритмической торговлей на рынках акций и деривативов, ищет сотрудника в новый проект на вакансию<em> Senior backend developer.</em> ","Обязанности: Разработка многокомпонентной системы получения и обработки биржевых данных, в т.ч. участие в планировании архитектуры системы.Интеграция с внутренними и внешними источниками данных: потоками информации о рынках с бирж, работа с базами данных, внешними API.На начальных этапах самостоятельная работа. После прохождения испытательного срока (и при желании) - найм подчиненных. ",Полная занятость,От 3 до 6 лет,,200000.0,senior backend developer (python),2020-10-12T22:42:48+0300,Требования: Уверенные знания и опыт разработки на Python 3+;Знание и опыт работы с SQL (предпочтительно PostgreSQL);Опыт написания тестов для своего кода;Опыт промышленной разработки от 3 лет ,Гибкий график,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'PostgreSQL'}, {'name': 'Разработка ПО'}, {'name': 'Stock market'}, {'name': 'Алготрейдинг'}, {'name': 'Algotrading'}]","Условия: Конкурентное вознаграждение, система ежегодного премирования по результатам работы (13-я зарплата каждый год, бонус увеличивается в случае особых успехов).Интересные технические задачи, возможность возглавить направление по разработке middle-офиса инвестиционной компании.Комфортный офис у станций метро Маяковская/Новослободская;Лояльное отношение к частичной удаленной работе (до 2-3 дней в неделю), после прохождения испытательного срока возможны периоды полностью удаленной работы."
14064,14064,Москва,Аксилон Консалтинг,Ищем в команду ,,Полная занятость,От 3 до 6 лет,,90000.0,fullstack разработчик python + react,2020-10-13T00:21:04+0300,,Полный день,"[{'name': 'Python'}, {'name': 'JavaScript'}, {'name': 'jQuery'}, {'name': 'SQL'}, {'name': 'React'}]","Условия: Оформление по ТКОфис м. Шоссе Энтузиастов, 5 мин пешкомФормат дистанционной работы – обсуждается индивидуальноГибкий график – возможенИспытательный срок до 3 месяцев"
14120,14120,,"АТОЛ, группа компаний",,,Полная занятость,От 3 до 6 лет,,,ведущий разработчик python,2020-10-13T13:31:09+0300,,Полный день,[{'name': 'Python'}],
14122,14122,,АппФоллоу,,,Полная занятость,От 3 до 6 лет,,,middle/senior python backend developer (remote job),2020-10-13T22:37:56+0300,,Удаленная работа,"[{'name': 'Python'}, {'name': 'Git'}, {'name': 'CSS'}, {'name': 'MongoDB'}, {'name': 'MySQL'}]",
14163,14163,Москва,Пилот Диалог,,"Обязанности: Реализацией высоконагруженных сервисов на языке Python;Разработкой серверной части веб-приложений (REST API);Участвовать в сборе и формализации бизнес-требований;Участвовать в проектировании архитектуры, выработке решений по отказоустойчивости и производительности;Написанием unit/api/интеграционных-тестов и технической документации по своим задачам;Проводить code review;Поддержкой и доработкой существующих систем. ",Полная занятость,От 1 года до 3 лет,,100000.0,программист python,2020-10-06T12:33:41+0300,"Требования: Опыт коммерческой разработки на Python от 2 лет.Иметь опыт работы с реляционными и не-реляционными базами данных (Postgres, Redis);Опыт работы с Git;Опыт работы с Django;Опыт работы с Docker и Linux;Знание сетевых протоколов: HTTP(S), REST.Иметь опыт работы с docker, docker-composeИнтерес к DevOps.применение современных инженерных практик.",Полный день,"[{'name': 'Python'}, {'name': 'Django Framework'}, {'name': 'Git'}, {'name': 'Linux'}, {'name': 'Redis'}, {'name': 'PostgreSQL'}]",Условия:  Работа в комфортабельном офисе в 10 минутах от метро Пролетарская/Волгоградский проспект;  Молодой и дружный коллектив;  Активно развивающаяся корпоративная культура; Интересные задачи и возможность самореализации; Официальное оформление. Гибкий график начала рабочего дня. Уровень заработной платы обсуждается на собеседовании.   
14213,14213,Москва,Группа компаний «Триумф»,"Уважаемые разработчики! Команда Blend4Web приглашает Python программистов. Пакет трехмерной графики Blend4Web предназначен для удобной разработки фотореалистичных веб-приложений, работающих на компьютерах и мобильных телефонах, легко встраиваемых в любые сайты. Blend4Web успешно используется для трехмерной демонстрации товаров, предметов одежды и обуви, автомобилей, медицинских приборов, деловой инфографики, производственных систем. Сейчас мы тестируем наш новый продукт Blend4Web Studio с веб-интерфейсом, позволяющий быстро составлять трехмерные образы из готовых компонентов, делиться своими визуальными идеями. Среди дополнительных модулей студии - САПР для проектирования одежды, PLM инструменты для настройки трехмерных моделей товаров, материалов и сценариев. ",,Полная занятость,От 1 года до 3 лет,,,cg программист (python/c++),2020-10-13T10:35:06+0300,"Требования Знание Python и C++Знание основ компьютерной графики и математического моделированияУмение разбираться в существующем кодеАнглийский, достаточный для чтения технической документацииПорядочность, интеллигентность, любознательность, воображение, нацеленность на результат   ",Полный день,"[{'name': 'JavaScript'}, {'name': 'Python'}, {'name': 'HTML5'}, {'name': 'CSS3'}, {'name': 'C++'}, {'name': 'WebGL'}, {'name': 'Git'}, {'name': 'OpenGL'}, {'name': 'OpenCL'}]",Условия Работа в компании - разработчике популярного движка Blend4WebЗаработная плата по результатам собеседованияВозможность профессионального ростаУдобный офис в 2 мин. от м. Пролетарская с современными рабочими местамиОформление по ТК или контрактная работа на выбор   Для приглашения на собеседование нужно разработать простое Python 2D приложение с физикой столкновений - подпрыгивание жесткой фигуры &quot;окружность&quot; от состоящей из нескольких сегментов фигуры &quot;резиновая линия с закрепленными краями&quot;. Самым настойчивым можно реализовать более сложный пример в 3D - подпрыгивающий мяч на батуте. Для реализации желательно использовать библиотеку PyOpenGL.
