,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
13990,13990,,Лаборатория Касперского,,,Полная занятость,От 3 до 6 лет,,,c# fullstack разработчик,2020-10-04T13:07:14+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Entity Framework'}, {'name': 'WPF'}, {'name': 'C#'}, {'name': '.NET Framework'}, {'name': 'Windows Forms'}, {'name': 'WinForms'}]","Вы нам подходите, если: Уверенно владеете языком C# и его экосистемой, современными подходами к разработке, фреймворками и библиотекамиВладеете одним или несколькими .NET-фреймворками для юнит-тестирования (mstest, nunit, xunit)Имеете обширный опыт работы с WinForms и/или WPF и/или в Web-разработке (ASP.NET MVC, Bootstrap, React, Blazor WebAssembly)Вам близки такие понятия, как юзабилити и UX-дизайнПроявляете интерес к исследовательской деятельности и оптимизации во всех проявлениях: реализуемого функционала, рабочих процессов, архитектуры системОбладаете системным мышлениемУмеете быстро осваивать новый материал и детально разбираться в чужом кодеГотовы принимать решения и брать на себя ответственность за результатыУмеете расставлять приоритеты и решать задачи в быстро изменяющихся условияхНаделены отличным чувством юмора, любите работать в творческой команде и готовы посвятить себя своему делу "
14008,14008,Москва,"Программный Продукт, ИТ-компания",,,Полная занятость,От 3 до 6 лет,,,team lead .net c#,2020-09-21T12:25:52+0300,,Полный день,[],
14046,14046,Москва,Ozon,"Сейчас мы ищем C# .Net Core developer в команду разработки Портала поставщика, через который координируются все закупки Ozon. Чтобы координировать закупки нам, с одной стороны, нужно делать простое и понятное взаимодействие с поставщиками и селлерами через Web, с другой, отрабатывать сложные сценарии получения и отправки данных со многими внутренними системами. Наш стэк: ASP.NET Core, Vue.js, PostgreSQL, Kafka, gRPC, EF Core, Hangfire. Используем подходы: DDD, Test Last, Hexagonal Architecture. ",,Полная занятость,От 1 года до 3 лет,,,c# .net core developer (портал поставщика),2020-09-24T15:35:32+0300,,Полный день,"[{'name': 'C#'}, {'name': '.Net Core'}, {'name': 'it'}, {'name': 'PostgreSQL'}]",
14116,14116,Москва,Тионит,,Обязанности   Реализация бизнес-логики и разработка пользовательских интерфейсов по требованиям.  Сопровождение существующих продуктов.  Участие в анализе требований и проектировании.    ,Полная занятость,От 3 до 6 лет,220000.0,160000.0,ведущий разработчик программного обеспечения / senior full-stack developer (.net core/c#),2020-10-15T16:31:10+0300,Обязанности   Реализация бизнес-логики и разработка пользовательских интерфейсов по требованиям.  Сопровождение существующих продуктов.  Участие в анализе требований и проектировании.    ,Полный день,"[{'name': 'MS SQL Server'}, {'name': 'C#'}, {'name': 'ASP.NET Core'}, {'name': '.NET Core'}, {'name': 'Blazor'}, {'name': 'Entity Framework'}, {'name': 'Azure DevOps Server'}, {'name': 'TFS'}, {'name': 'SignalR'}, {'name': 'SQL Server'}, {'name': 'WPF'}, {'name': 'CI/СD'}]","Условия работы  Работа в стабильной, развивающейся IT-компании (официальное оформление, &quot;белая&quot; заработная плата).График работы: 5/2 с возможностью гибкого начала рабочего дня (09.00 - 11.00).Работа в офисе в бизнес-центре &quot;Галерея 76&quot; по адресу: г. Москва, Профсоюзная ул., 76 (5 минут пешком от м. Калужская).Дружественная атмосфера, открытая и демократичная корпоративная культура, минимум бюрократии.Помощь во внедрении и обучении используемым в компании технологиям и методологии.Перспективы развития в компании. После испытательного срока: Корпоративный фитнес, дмс.Корпоративная мобильная связь.Корпоративное такси при служебных поездках и работе в офисе сверхурочно.Поддержка в профессиональном росте и развитии. Прохождение профессиональных курсов, участие в тренингах и конференциях за счет компании.    "
14140,14140,Москва,Галактика,,Обязанности: разработка/доработка решений на C#.внедрение программных продуктов. ,Полная занятость,От 3 до 6 лет,,,разработчик на c#/.net,2020-10-09T11:05:41+0300,"Требования: опыт работы с C# от 3-x лет. опыт работы с ORM (Entity Framework).  знание .NET Core.  знание стандартного SQL (DDL, DML, работа с подзапросами).  знание базовых принципов, проектирования БД.  опыт работы с системой контроля версий GIT.  ",Удаленная работа,"[{'name': '.net'}, {'name': 'C#'}, {'name': 'MS Visual Studio'}, {'name': 'MS SQL Server'}, {'name': '.net core'}]","Условия труда: Оформление по ТК РФ, белая заработная плата.Заработная плата по результатам собеседования (рассмотрим Ваши ожидания).Работа над новым масштабным проектом крупного Заказчика.Рассматриваем кандидатов также "
14262,14262,,Айти Бюро,  ,"Обязанности: Разработка, внедрение и сопровождение программной системы для обеспечения работы сотрудников техподдержки.   ",Полная занятость,От 3 до 6 лет,150000.0,120000.0,c# разработчик,2020-09-29T17:44:39+0300,"Требования: Опыт разработки, внедрения клиент-серверных приложений<br />Твердые знания .NET, C#, C++<br />Знания MS SQL, принципов БД(Oracle, MS SQL)   ",Полный день,"[{'name': 'Oracle Pl/SQL'}, {'name': 'MS SQL'}, {'name': 'C#'}, {'name': 'SQL'}, {'name': '.NET Framework'}]",Условия: Оформление по ТК РФ<br />ДМС/соц.пакет/бонусы<br />Возможность карьерного роста
14281,14281,,Мандарин,В связи с ростом компании и расширением отдела разработки мы ищем старшего разработчика на C# (ASP.NET Core 3). <br />,"Обязанности: Вам достанется одна из самых важных и одновременно самых сложных частей платформы, поэтому придется много разбираться как он работает, чтобы ничего не сломать. Разрабатывать новый и поддерживать существующий функционал серверной части платформы Mandarinpay (рефакторинг, оптимизация имеющейся архитектуры).Проектировать и реализовывать REST API для внутреннего и внешнего использования.Разрабатывать административные интерфейсы к сервисам компании.Анализировать и оптимизировать производительность серверной части сервисов платформы. ",Полная занятость,Более 6 лет,250000.0,200000.0,старший разработчик c# (asp.net core 3),2020-10-14T17:13:33+0300,"Требования: Знание ASP.NET Core 3, PostgreSQL, linq2db, RabbitMQ, Redis, уверенные знания .NET-платформы, опыт работы с Docker, WSL (если вы на Windows), уверенное знание инструментов командной строки LinuxЗнание английского языка (на уровне чтения документации). ",Удаленная работа,"[{'name': 'PostgreSQL'}, {'name': 'Redis'}, {'name': 'Linux'}, {'name': 'JSON'}, {'name': 'REST'}, {'name': 'JSON API'}, {'name': 'ASP.NET'}, {'name': 'ASP.NET Core 3'}, {'name': 'linq2db'}, {'name': 'RabbitMQ'}, {'name': 'Docker'}]","Условия: Оклад по результатам собеседования (размер оклада указан для уровня Senior с опытом разработки от 5 лет)Испытательный срок - 3 месяца.Полностью удаленная работаТрудоустройство по ТК РФ, оплачиваемый отпуск и больничные в соответствии с ТК РФ.Молодой дружный коллектив, все на &quot;ты&quot;.Никакой бюрократии и всегда прислушиваемся к мнению коллектива.График работы 5/2."
14494,14494,Москва,Syntellect (ООО СИНТЕЛЛЕКТ),,Обязанности: Проектирование и разработка различных компонентов и сервисов платформы TESSA   ,Полная занятость,От 3 до 6 лет,,150000.0,программист c# / .net,2020-10-15T10:25:21+0300,"Требования (обязательные): Высшее образование в сфере ИТОпыт разработки высоконагруженных и распределенных систем (или хорошие знания в этой области)Знание технологий и опыт работы с C#/ .NetХорошее знание SQL, опыт работы с RDBMS (MSSQL, PostgreSQL), оптимизация запросовУмение работать с gitУмение работать в команде   ",Удаленная работа,"[{'name': 'C#'}, {'name': '.NET Framework'}, {'name': 'SQL'}, {'name': 'MS SQL'}, {'name': 'PostgreSQL'}, {'name': 'Git'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'JavaScript'}, {'name': 'TypeScript'}, {'name': 'SPA'}, {'name': 'React'}, {'name': 'Angular'}, {'name': 'Mobx'}]",Условия: Профессиональный и карьерный ростОбучение в процессе работыОформление по ТК РФЗаработная плата - по результатам собеседованияБонусная система
14527,14527,,Russ Outdoor,Компания ,"Обязанности: Разработка новых приложений, сервисов и функциональных модулей в составе корпоративных информационных систем.Доработка существующих сервисов и алгоритмов (при необходимости)Сопровождение и поддержание в работоспособном состоянии разработанных и существующих сервисов и приложений. ",Полная занятость,От 1 года до 3 лет,200000.0,,программист sql/delphi/c#,2020-09-27T11:31:17+0300,"Требования:  Высшее техническое образование  Отличное знание T-SQL и администрирование баз данных MS SQL.  Опыт работы разработки Delphi последних версий  Знание основ интернет-технологий (http, ftp, html, xml, json, tcp, sockets)  Знание математических основ алгоритмов поиска и оптимизации  Опыт использования .Net Core, No-SQL и In-Memory баз данных, Queue management systems  Опыт коллективной работы с использованием систем класса TFS, Jira, GitHub, Swagger и т.д.  ",Полный день,"[{'name': 'HTML'}, {'name': 'XML'}, {'name': 'Delphi'}, {'name': 'MS SQL'}, {'name': 'SQL'}, {'name': 'C#'}, {'name': 'Transact-SQL'}, {'name': 'MS SQL Server'}]","Условия: Комфортный офис в бизнес-парке &quot;Рига-Лэнд&quot;, 9 км от МКАД по Новорижскому шоссе, от м. Строгино и м. Щукинская, станции Павшино около 20 мин. корпоративным транспортом;&quot;Белая&quot; компания - соблюдение ТК РФБесплатный корпоративный транспорт от Метро Щукинская, Строгино, ст.Павшино.Бесплатное паковочное место на территории работодателя, ДМС."
14588,14588,Москва,"ДИКСИ, группа компаний",,"Обязанности:  <em>Разработка новых приложений и сервисов, разработка REST API микросервисов, изучение и доработка текущих систем.</em>  <em>Выполнение задач поставленных руководителем, обеспечение высокого качества разработки, ведение проектной документации</em>  ",Полная занятость,От 1 года до 3 лет,,,c# full stack developer,2020-10-12T16:50:22+0300,"Требования:  <em>Релевантный опыт от 6 мес.</em>  <em>ООП,SOLID, REST, MVC, будет плюсом: </em>  <em>Design Patterns, DI, IoC, Regular Expression.</em>  <em>Знание фреймворков React,Vue - будет плюсом</em>  <em>C#, HTML5, JS, CSS3, jQuery, Entity framework 6, </em>  <em>SQL, ADO.NET, Тестирование (Nunit|xUnit) - будет плюсом:</em>  ",Полный день,"[{'name': 'ADO.NET'}, {'name': 'ООП'}, {'name': 'Cистемы управления базами данных'}, {'name': 'Microsoft Access'}, {'name': 'С#'}, {'name': 'SQL'}, {'name': 'C#'}, {'name': 'HTML5'}, {'name': 'Solid Works'}, {'name': 'REST'}, {'name': 'CSS3'}]","Условия: <em>Место работы: Home Office</em><em>Работа в крупной стабильной и развивающейся компании</em><em>График работы: 5\2</em><em>Время работы с 9.00 до 18</em><em>Официальная «белая» заработная плата: оклад + квартальная премия;</em><em>Выплаты 2 раза (аванс и заработная плата на карту).</em><em>Оформление по ТК РФ с первого дня работы;</em><em>Полный социальный пакет (оплачиваемый отпуск 28 календарных дней, оплачиваемые больничные)</em><em>ДМС</em>"
14640,14640,,ЭкоНива-АПК Холдинг,<em>,,Полная занятость,Более 6 лет,,,ведущий back-end разработчик (c# & asp.net core),2020-10-05T08:51:01+0300,"Ещё мы ценим умения: Декомпозировать задачи, оценивать их трудоёмкость и доводить их до концаОбосновывать свои решения и брать на себя ответственностьБалансировать между скоростью и качеством выполнения задачПланировать рабочий день и своевременно оповещать о рисках и проблемахПродумывать реализацию фич и работать над ошибкамиФормулировать вопросы, разбираться в коде и требованияхРаботать как в команде, так и самостоятельно ",Удаленная работа,[],
14705,14705,,КАШЕМИР И ШЕЛК,"В команду нужен Разработчик C# (web) Основные задачи это развитие учетной модульной ERP системы, включающую Web морду, служебные порталы, а так же интернет-магазин и служебный софт. Основные задачи будут на Backend, но необходимо знание frontend (Angular/AngularJS). Наш основной стэк технологий: .Net (часть проектов Core, декстоп – WPF, фронт Angular и AngularJS), SQL 2017, ORM EF и ServiceStack OrmLite. Вас ждут интересные задачи в очень атмосферной компании! ",,Полная занятость,От 1 года до 3 лет,,150000.0,разработчик c# (web),2020-10-12T14:40:17+0300,,Полный день,[],
14773,14773,,ZennoLab,"Мы занимается разработкой продуктов и решений для SEO с 2008 года. В данный момент у нас десятки тысяч клиентов из 88 стран мира и мы не собираемся на этом останавливаться. Несмотря на большое количество клиентов и широкую известность среди SEO специалистов, в ZennoLab работает около 30 человек. Это значит, что ты не будешь чувствовать себя маленьким винтиком в большой системе - наоборот, сможешь видеть, как результатами твоей работы пользуются тысячи людей! ",,Полная занятость,От 3 до 6 лет,150000.0,100000.0,middle backend developer .net c#,2020-10-13T00:21:59+0300,Требования к соискателям: Опыт работы от 3 летОпыт работы с C#Опыт разработки на ASP.Net MVC / CoreОпыт работы с ASP.NET Web FormsОпыт работы с SQL и/или NoSQL БД ,Гибкий график,[],
14775,14775,,Кузница Кадров,Всем привет! Ищем,,Полная занятость,От 3 до 6 лет,,200000.0,senior c# developer,2020-10-09T17:32:58+0300,,Удаленная работа,"[{'name': 'ASP.NET'}, {'name': 'MS SQL'}, {'name': 'Transact-SQL'}, {'name': 'C#'}]",Условия 
