,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
10282,10282,,Сбербанк,Мы команда ,,Полная занятость,От 1 года до 3 лет,,,data scientist (sberнадежность),2020-10-09T10:50:37+0300,"Чем нужно будет заниматься:  создавать модели и пайплайны обработки текста, EDA;составлять и проверять гипотезы, в т.ч. дорабатывать существующий код;коммуницировать с бизнесом: решаем текущую &quot;боль&quot; бизнес-подразделений (напр. группировка и ранжирование заявок), поэтому у нас много R&amp;D и общения с заказчиками;составлять аналитические отчеты по данным и визуализировать результаты, составлять требования к данным, делать выгрузки из БД. <br />",Полный день,"[{'name': 'Python'}, {'name': 'Data Mining'}, {'name': 'Работа с базами данных'}, {'name': 'Data Science'}, {'name': 'Analytics'}, {'name': 'NLP'}]","Условия: Место работы: м. Кожуховская;Уровень среднемесячного дохода обсуждается (по результатам собеседования);Оформление по ТК РФ;График работы: с 9.00 до 18.00 (можно двигать), пятница до 16.45.Работа в активной и динамичной команде профессионалов;Возможности для профессионального развития и самореализации;Возможность решать интересные задачи в инновационной и технологичной компании;  "
10296,10296,,Леруа Мерлен,,,Полная занятость,От 1 года до 3 лет,,,devops engineer (data),2020-10-13T12:43:21+0300,,Полный день,[],
10330,10330,Москва,Samsung Research Center,,,Полная занятость,От 3 до 6 лет,,,data scientist,2020-10-15T10:15:29+0300,,Полный день,[],
10338,10338,Москва,ivi,"Отдел эксплуатации ivi ищет DevOps инженера для сопровождения приложений и инфраструктуры больших данных. Совместно с другими специалистами вы будете поддерживать команды компьютерного зрения, рекомендательных систем и высоконагруженных систем логирования и обработки данных. Данные - важное звено в бизнесе ivi, мы придерживаемся data-driven культуры принятия решений. Мы обрабатываем 1 Тб в день с помощью Kafka, Flink и ClickHouse. Если вы любите разбираться с новыми технологиями и решать нестандартные задачи - вам у нас будет интересно. ivi.ru — самый популярный онлайн-кинотеатр в России. Мы входим в топ-3 площадок рунета по видеосмотрению и топ-3 самых дорогих онлайн-кинотеатров рунета. Мы представлены не только в России, но и в странах СНГ, а также по всему миру. ","Обязанности:  эксплуатация и мониторинг Java сервисов  исследование и внедрение решений связанных с темой BigData (администрировании, установка, конфигурирование, мониторинг)  поддержка CI/CD процессов в командах  ",Полная занятость,От 3 до 6 лет,,,системный администратор linux/devops в команду bigdata,2020-10-14T17:16:57+0300,"Требования:  опыт эксплуатации приложений на Java  опыт администрирования open source приложений (Linux, веб-серверы, базы данных и т.д.)  знание сетевых технологий  опыт программирования на скриптовых языках  <em>Будет плюсом, но не обязательно :</em>  опыт работы с системами автоматизации CI/CD процессов (gitlab, jenkins)  опыт работы с технологиями из нашего стека: Hadoop, HDFS, YARN, Hive, Cloudera CDH, Spark, Zookeeper, Kafka, Flink, Presto, ClickHouse  ",Полный день,[],"Условия: офис находится в 5 минутах ходьбы от метро &quot;Дмитровская&quot;;у нас свободный график, мы начинаем не позже 11 часов дня;простудившимся сотрудникам можно поработать день-два из дома;трудоустройство по ТК РФ и &quot;белая&quot; заработная плата;демократичная атмосфера, отсутствие бюрократии;ДМС после прохождения испытательного срока;футбольная команда ivi.ru принимает новых игроков!Пакет релокации для соискателей из других регионов.  "
10461,10461,,HR Development,,"Обязанности:  Анализ и исследование источников (оценка объемов, выявление инкрементов, уточнение бизнес-смысла данных и взаимосвязей);  Разработка спецификаций по загрузкe RAW, DDS, CDM слоя. Описание трансформаций данных, схемы потоков данных, регламентов, маппингов S2T и определения критериев готовности;  Создание спецификаций для прототипов витрин слоя CDM и DM. Проектирование структуры витрин;  Детальная проработка требований по метрикам от заказчика. Уточнение и описание алгоритмов, согласование;  Формирование справочников для RDM;  Формирование справочников CDL для НСИ.   ",Полная занятость,От 1 года до 3 лет,150000.0,120000.0,big data analyst,2020-10-07T13:51:17+0300,Требования:  ,Полный день,"[{'name': 'SQL'}, {'name': 'MS SQL'}, {'name': 'Atlassian Jira'}, {'name': 'Atlassian Confluence'}]",Условия:  Достойный уровень заработной платы 
10593,10593,Москва,МТС,,,Полная занятость,От 3 до 6 лет,,,data engineer (big data),2020-10-01T12:20:28+0300,,Полный день,[],"Условия. Каждый месяц - аванс и зарплата, дважды в год - премия. Бонусом – ДМС + стоматология, корпоративная связь, страхование жизни, в т.ч. при выезде за границу, специальные предложения от партнеров и друзей МТС. "
10613,10613,Москва,Skillbox,,,Полная занятость,От 1 года до 3 лет,,,data engineer,2020-10-13T13:17:36+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Git'}, {'name': 'SQL'}]","Мы предлагаем отличные условия: Высокая и полностью &quot;белая&quot; зарплата;Мы оформляем в первый день работы и полностью соблюдаем ТК РФ;ДМС;Гибкий график работы (время начала рабочего дня в интервале с 9 до 12);Сейчас мы работаем удаленно, но всегда можно приехать в наш новый, стильный и уютный офис на м.Октябрьская; Работу в молодой и драйвовой команде умных и творческих людей, объединенных общей целью и любящих свою работу;  Мы стремительно развиваемся и готовы дать все возможности для роста, обучения и достижения целей, а еще мы поделимся с тобой доступом к любому курсу Skillbox и корпоративной скидкой в Skyeng. "
10618,10618,Москва,BelkaCar,,,Полная занятость,От 1 года до 3 лет,,,data analyst / dwh analyst,2020-10-09T10:27:29+0300,,Удаленная работа,"[{'name': 'SQL'}, {'name': 'Английский язык'}, {'name': 'Python'}, {'name': 'архитектура мобильных приложений'}, {'name': 'хранилища данных'}, {'name': 'Базы данных'}, {'name': 'ETL'}, {'name': 'BigQuery'}, {'name': 'Kaffka'}, {'name': 'BI'}]",
10641,10641,,Самокат (ООО Умный ритейл),,,Полная занятость,От 1 года до 3 лет,,,senior big data developer,2020-10-14T15:58:47+0300,,Полный день,[],
10648,10648,,Рамакс Интернейшнл,,,Полная занятость,От 3 до 6 лет,200000.0,,senior bigdata developer (scala),2020-09-25T13:35:38+0300,,Полный день,"[{'name': 'SCALA'}, {'name': 'Python'}, {'name': 'Java'}, {'name': 'SQL'}, {'name': 'Linux'}, {'name': 'hadoop'}, {'name': 'YARN'}, {'name': 'Akka'}, {'name': 'NoSQL'}, {'name': 'Spark'}, {'name': 'Kafka'}, {'name': 'Hive'}]","Условия  Интересные карьерные и профессиональные возможности;  Актуальная рыночная зарплата с системой грейдов и премий, которая обсуждается с успешным кандидатом;  Оформление по ТК РФ;  Гибкая бенефитная программа после прохождения испытательного срока (ДМС, фитнес и дополнительные льготы, по выбору сотрудника);  Компенсация питания при работе в офисе;  Современный бизнес-центр;  Профессиональный, молодой, дружный коллектив;  Возможна удаленная работа;  Корпоративные мероприятия, обучение. "
10666,10666,Москва,X5 RETAIL GROUP,В ,,Полная занятость,От 3 до 6 лет,,,"java разработчик (bigdata, etl)",2020-09-25T20:46:03+0300,,Полный день,"[{'name': 'Java'}, {'name': 'Spring Framework'}, {'name': 'ООП'}, {'name': 'SQL'}]",
10678,10678,Москва,Утконос. И..И.. ОНЛАЙН,"Утконос ОНЛАЙН – современный фудтех, магазин нового поколения, онлайн платформа и сервис по доставке продуктов питания и сопутствующих товаров. Мы входим в инвестиционную группу «Севергрупп» и инновационно совмещаем традиционные и современные технологии розничной торговли. Привет! Мы отдел DWH&amp;DE, нас 6 человек, мы строим корпоративное хранилище данных, настраиваем ETL потоки, следим за их оптимальностью и ищем как повысить производительность не накидывая железо. Приглашаем в нашу команду Lead Data Engineer) ",,Полная занятость,От 1 года до 3 лет,,,lead data engineer,2020-10-06T13:02:26+0300,,Полный день,"[{'name': 'SQL'}, {'name': 'Python'}]",
10679,10679,,Business and Technology Services,,,Полная занятость,От 3 до 6 лет,,,data scientist,2020-10-15T13:30:14+0300,,Полный день,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'PostgreSQL'}, {'name': 'Machine Learning'}, {'name': 'Data Science'}, {'name': 'Artificial Intelligence'}, {'name': 'Big Data'}, {'name': 'Статистический анализ'}, {'name': 'Qlik Sense'}, {'name': 'Power BI'}]","От кандидата ожидаются:<br />- Отличный математический и технический бекграунд в статистике, анализе данных и ML;<br />- Уверенное владение Python стека анализа данных (pandas, numpy, scikit-learn, lightgbm, xgboost, statsmodels);<br />- Владение SQL для извлечения, обработки и анализа данных (MSSQL, PostgreSQL, MySQL);<br />- Опыт разработки и внедрения моделей в промышленную эксплуатацию;<br />- Навыки анализа и визуализации (Qlik Sense, Power BI)<br />- Готовность погружаться предметную область и работать в условиях недостатка качественных данных; "
